Depth [cm],Ti/Ca,Fe/Ca,Fe/K,Mn,Total counts
214,0.18118782,2.771681238,20.73759398,40.5,4168.2
216,0.144851485,2.525346535,19.22079879,28.8,3939.4
218,0.153949774,2.66737227,20.24981738,40.1,4195.3
220,0.190336134,2.727731092,19.16457565,47.6,3959.6
222,0.131363805,2.301003344,18.56671664,36.5,3931.1
224,0.162164572,2.377641081,18.29218107,36.2,4232.8
226,0.142597541,2.588348477,19.94563427,34.6,3707.2
228,0.129501317,2.252561725,18.95073892,34.2,3684.4
230,0.167166894,2.170077308,17.67407407,36.6,3914.9
232,0.110845355,1.652814112,16.67647059,20.5,3924
234,0.129975283,1.871047473,15.86199422,21.2,3754.1
236,0.122411749,1.969807534,16.6243264,48.5,3634
238,0.149456778,1.945299953,15.34351714,23.8,3508
240,0.123751859,2.157318887,17.41766724,16.7,3289.2
242,0.131988913,2.19611966,16.5666907,22.8,3711.7
244,0.13984341,2.282296651,16.16949153,30.5,3375.9
248,0.181962925,2.357557148,14.8495702,20.9,3340.9
250,0.133521949,2.08725016,16.69343066,34.5,3756.8
252,0.149723375,2.495504841,16.00221729,43.9,3405.4
254,0.163808712,2.351688146,15.69296375,43.9,3554.5
256,0.124675618,2.437549363,17.49311741,18.7,3352.8
258,0.178692368,2.760744986,16.09491268,41.6,3234.3
260,0.137701913,2.548516439,17.7400319,39.1,3458.3
262,0.169016031,2.894555003,16.3123053,37.2,3172
264,0.191581479,2.550571257,15.99396682,38.7,3349.7
266,0.211255724,2.769221499,17.38199697,26.3,3534.6
268,0.220952381,3.551587302,18.08811641,41.5,3231.9
270,0.250359971,3.809035277,17.51903974,35.9,3035.7
272,0.310006139,4.180069572,16.88264463,23.3,2896.7
274,0.350229358,4.978211009,16.98356808,20,2963.2
276,0.331559855,4.740266022,17.85154827,14.6,2696.5
278,0.274030193,4.427861647,19.52064027,39,3210.2
280,0.325597116,4.917981073,17.84627964,22.6,2981.1
282,0.367871876,5.481436545,19.65970409,22.8,3008.9
284,0.392866649,5.861591696,18.67854114,43,2946.2
286,0.447891156,6.304761905,19.85432734,37.9,3062.1
288,0.457222222,6.382777778,17.85392385,39.8,3040.7
290,0.467525497,6.446859903,18.32265446,16.2,3164.2
292,0.381190368,5.449795547,18.46805235,27.8,3242.8
294,0.565755208,8.096679688,18.4929368,47.4,3209.9
296,0.521493213,7.007070136,17.79956897,23.8,3234.4
298,0.591136526,8.031451036,18.035313,28.3,2901.2
300,0.376677668,5.182838284,19.40362438,43.6,3225.9
302,0.264705882,4.065415822,18.261959,25.6,3393.7
304,0.402254791,5.727170237,17.76223776,27.7,3387.8
306,0.416921989,5.843035588,19.41425215,39.2,3304
308,0.355877269,4.890449438,17.15921152,21.5,3091.5
310,0.307559146,4.493364108,18.10930233,36.8,3239.8
312,0.312940762,4.309062059,17.62148522,26.4,3403.8
314,0.262631077,4.050047664,18.60656934,41.4,3590.6
316,0.200917686,3.100250278,16.27518248,36.4,3353
318,0.195434521,3.115738887,15.97535934,22.8,3485.6
320,0.194843892,2.910351082,16.12706389,25.9,3391.3
322,0.172748753,2.964688895,16.0177305,38.3,3403
324,0.176842105,2.990526316,16.31586504,22.6,3384.1
326,0.181355932,3.065112994,15.70260492,18,3243.3
328,0.165714995,2.886047666,16.94606414,41.4,3520.6
330,0.17028758,2.86374482,15.12201592,37.5,3477.6
332,0.187437562,2.991008991,16.65646732,37.2,3592
334,0.170090779,2.857501194,15.62573481,23.6,3632.9
336,0.176739927,2.920983778,17.201849,18,3342.7
338,0.275210928,4.190839695,15.20553936,43.9,2984
340,0.314691768,4.056847545,16.06725146,19.7,3127.2
342,0.247776564,3.859104384,16.95202193,51.3,3533.4
344,0.316552557,4.550543697,16.73925926,27.8,3148.8
350,0.196636481,3.217622538,14.72697368,43.3,3320.7
352,0.193654405,3.078371887,15.64097624,50.3,3640.3
354,0.203632887,2.709488528,15.02518224,47,3526.4
356,0.175862498,2.76572425,16.47329377,39.6,3409.3
358,0.194205886,2.713615023,15.01774398,40.3,3665.2
360,0.172632648,2.897816705,15.52993197,34.9,3451.4
362,0.148127446,2.586920067,14.83333333,33.9,3592.8
364,0.184541564,2.902476981,14.07610063,34.9,3410.1
366,0.235839341,2.842559217,12.61771429,27.7,3426
368,0.192075907,2.880753943,13.68270402,47.4,3450.6
370,0.164006791,2.528692699,13.98935504,20.8,3537.5
372,0.225406382,2.879711017,14.78121137,38.3,3683.1
374,0.187584016,2.803495051,15.07293035,35.1,3509.2
376,0.198054112,2.883379981,14.12140992,22.9,3293.9
378,0.206263797,3.012003311,14.50564784,43.9,3300.8
380,0.170918943,2.836193272,17.19575633,43.1,3787.6
382,0.160807439,2.731118167,17.09226402,39.4,3696.8
384,0.165429579,2.414269809,16.05243677,39.1,4155.2
386,0.150217256,2.523484378,16.41453567,44.7,3811.9
388,0.229686125,3.552508067,14.91440887,47.5,3525
390,0.195367815,3.059402376,15.83478261,37.3,3828.6
392,0.183034387,2.493806362,14.89934873,36.2,4011.6
394,0.141341292,2.056453619,15.32242125,41.1,4146.9
396,0.140368098,1.927198364,14.42743417,17.4,4014.3
398,0.136289127,1.974318945,14.43664384,33.8,4276.5
400,0.115679591,1.734909814,14.85167173,40.4,4322.6
402,0.10690439,1.798195766,15.96153846,30.2,4373.3
404,0.097582529,1.486019062,15.33745928,47.1,4408.3
406,0.08583343,1.340206186,14.26633785,33.5,4497.2
408,0.076611871,1.143647258,14.22420382,26.3,4644.6
410,0.059321682,0.837228611,12.93649775,21,4898.5
412,0.059112501,0.738053672,12.03907285,22.5,4749.9
414,0.051543414,0.752393529,13.22117476,32.5,4672.4
416,0.06590839,0.840232773,13.23541667,23.8,4620.6
418,0.057776528,0.759773394,12.89025222,30.2,4821.9
420,0.05633566,0.737828975,14.05124099,29.4,4530.4
422,0.051135697,0.668478048,12.12695035,28.8,4703
424,0.054663333,0.669011399,12.27682737,27.4,4356.7
426,0.050765611,0.626852119,11.91215686,22.7,4356.8
428,0.051715783,0.664243866,11.73463035,35.6,4180.3
430,0.062846667,0.700291436,12.48784577,40.7,4046.6
432,0.049432592,0.65283704,12.484375,28.3,4007.6
434,0.056945561,0.667644138,11.91223629,28,3923.6
436,0.057880089,0.668474928,12.14310197,23.8,3903.9
438,0.058829057,0.657550982,12.2754386,21,3892.4
440,0.052188644,0.750259577,13.35505837,26.3,3541.9
442,0.063743552,0.741604379,11.63418662,18.3,3674
444,0.068436356,0.804382942,11.52700617,20,3726.8
446,0.083217351,0.978021341,12.23875181,34.1,3816.2
450,0.073397846,0.837563143,11.80274443,34,3346.6
452,0.07409063,0.85762977,11.93545879,24.4,3683
454,0.082093726,0.904484957,11.91893884,40.2,3798.8
456,0.105846282,1.226604418,13.1758982,34.6,3562.5
458,0.085238584,0.911745189,10.96806967,19.6,3534.5
460,0.07456523,0.925085791,12.68341308,25.8,3664.9
462,0.078477934,0.926908375,12.0693816,24.9,3704.8
464,0.089324068,1.103095389,12.99255952,17.5,3714.4
466,0.081861674,1.008327919,12.21173104,29.1,3785.9
468,0.079619727,1.019073084,12.41027496,16.2,3766.6
470,0.090350259,1.110904783,11.82617587,31.5,3703.1
472,0.087818357,1.104997597,12.49728261,23.3,3903.2
474,0.094406307,1.278325291,13.46313529,14.3,3729
476,0.107764164,1.306911257,13.79071429,16.5,3802.7
478,0.094513571,1.255882922,14.19825073,22.5,3895.9
480,0.105469296,1.416421877,14.85840059,30.9,3846.4
482,0.101551957,1.310323887,14.34194978,27.6,3828.4
484,0.102490502,1.70088645,14.80308597,30.6,3560.5
486,0.109571788,1.73543241,14.91269841,22.6,3633.4
488,0.134323082,1.875044185,16.23412395,23.7,3623.6
490,0.149334232,2.054272712,16.08976898,42.9,4054.9
492,0.166247611,2.13848939,14.01647989,30.4,3518.1
494,0.222365039,3.48907455,15.21793973,25.9,3156.1
496,0.210354857,2.836649215,16.67647059,41.3,3737.6
498,0.167016807,2.375840336,16.84139985,43.6,3621.9
500,0.158855292,2.537796976,15.64580559,37.5,3687.6
502,0.286916055,4.379273313,17.79418182,36.2,3405.7
504,0.380121043,5.531424581,15.8314457,23.4,3195.2
506,0.473135525,6.775461107,17.34907598,45.4,3338.7
508,0.46510456,6.941798942,18.27055703,46.3,3595.6
510,0.49745028,6.972972973,17.21082442,47.8,3577.4
512,0.627741736,8.534445474,16.48329356,42.7,3545.7
514,0.539789587,7.585379013,16.54058824,47.9,3647.7
516,0.521509434,7.141132075,17.18280872,40,3713.2
518,0.486978566,6.532380733,17.42102028,49,3747.7
520,0.363678516,4.160123648,14.58861789,39.7,3870.1
522,0.174925373,2.156929638,14.03440622,30.9,4189.3
524,0.109614285,1.470928385,14.18382353,26.4,4316.1
526,0.071215017,1.097142577,14.68832021,38.3,4699.6
528,0.070796872,1.003537516,14.3637575,27,4738.1
530,0.06736121,1.045716189,14.53835979,36.3,4730.8
532,0.073339127,1.005600618,14.57522743,37,4585.1
534,0.064238953,0.99386252,15.08695652,32.5,4810.2
536,0.063505385,0.958455728,14.050581,29.4,4611.3
538,0.069978209,1.057002773,15.36573074,34.6,4590.5
540,0.067770932,0.981113019,14.55280899,20.2,4295.3
542,0.067450128,0.989531898,14.57454545,26.1,4416
544,0.065595325,0.918431945,15.10008006,34.2,4311.2
546,0.062555283,0.933169533,15.32687651,22.1,4300.3
550,0.061124258,0.819707997,13.78303303,23.8,4469
552,0.067768821,0.883135219,14.24761205,35.1,4553.3
554,0.060922713,0.894518927,14.25608798,22.9,4193.8
