Age (kyrs),Amphycoryna cff. scalaris,Anomalina sp. 1,Astacolus sp.,Astrononion sp.,Bolivina cff. spathulata ,Bolivina subaenariensis var. mexicana,Bolivina spp.,Brizalina alata,Bulimina spp.,Cancris auriculus,Cassidulina teretis/laevigata,Chilostomella oolina,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides sp.,Cibicidoides wuellerstorfi,Cornuspira spp.,Cribroelphidium cff. williamsoni,Cushmanina plumigera,Cushmanina sp.,Dentalina mutabilis,Dentalina sp.,Elphidium macellum,Epistominella exigua,Evolvocassidulina bradyi ,Favulina hexagona,Fissurina spp.,Fursenkoina complanata,Fursenkoina sp.,Glandulina spp.,Globobulimina spp.,Globocassidulina sp.,Grigelis pyrula,Hansenisca soldanii ,Hanzawaia boueana,Heterolepa bradyi,Hoeglundina elegans,Hyalinea balthica,Hyalinonetrion gracillimum,Laevidentalina spp.,Lagena spp.,Lenticulina spp.,Lobatula lobatula,Marginulina sp.,Melonis barleeanus ,Milliolinella circularis/valvularis,Neolenticulina variabilis,Nodosaria cff. vertabralis,Nonion fabum,Nonionella turgida/pulchella,Nonionina sp.,Oolina cff. globosa,Oridorsalis umbonatus,Osangularia culter,Planularia magnifica,Planulina arimenensis,Pseudonodosaria sp.,Pseudopyrgo millettii ,Pullenia bulloides / quinqueloba,Pyrgoella sphaera,Pyrgo spp.,Quinqueloculina spp.,Rectuvigerina cff. elongatastriata,Robertinoides bradyi ,Rutherfordoides rotundatus,Saracenaria spp.,Sigmoilopsis schlumbergeri,Sphaeroidna bulloides,Spiroloculina depressa,Spiroplectinella spp. wrighti ,Spirosigmoilina tenuis,Trifarina angulosa,Trifarina sp.,Triloculina spp.,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Vaginulina spp.,"Virgulina subquamosa sensu Bradyi, 1884",Agglutinated Foraminifera
11.63,,2,2,,14,4,0,,0,6,0,17,,36,30,,7,0,,,,,,,3,,,2,,,3,8,,,,3,,,,,1,1,2,,,7,0,9,,,,,,11,,,30,,,0,,0,7,1,1,,0,1,11,,,1,,1,0,,3,0,0,5,1
11.79,,,,,27,1,16,,0,3,8,28,,12,23,,3,0,,,,,,,,1,2,4,,,0,14,,,4,6,,1,,,2,10,4,3,,6,0,6,,1,8,,,4,,,15,,,5,,0,0,4,,,0,,19,3,,4,,,0,1,4,0,0,,4
11.94,1,2,1,,17,4,4,,1,,6,8,,13,37,,2,0,,,,,,,,,,0,,,1,8,,,2,5,,,,,0,3,5,,,15,0,12,,2,4,,1,12,,,27,,,3,,1,11,,3,,1,,4,1,,3,,1,4,,7,0,0,,6
12.08,,,,,13,1,1,1,1,,12,9,,4,34,,3,0,,,,,,,3,2,,4,,,1,13,,,,,,,,,1,4,2,,,28,1,7,,2,6,,,4,,,31,,,0,,1,6,,1,,0,,,,,1,1,2,1,,9,0,0,2,1
12.20,,1,,,5,3,1,1,1,1,4,3,,40,41,,4,0,,,,,,,2,2,,3,,,0,11,,,1,3,,,1,,2,3,1,,,16,3,6,,1,2,,,11,,,38,,,0,1,1,6,1,4,,0,,2,,,,1,,0,,8,0,0,1,2
12.31,,,,,11,1,1,,1,1,9,20,,4,26,,3,0,,,,,,,2,2,,3,1,,0,6,1,,,1,,,,,1,8,2,,,32,0,8,,1,5,,,10,,,25,,,1,,1,4,,,,0,,1,2,,,,,2,,6,0,0,,0
12.42,,,,,,,0,,0,,0,,,,,,,0,,,,,,,,,,0,,,0,0,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,0,,0,0,,,,0,,,,,,,,0,,,0,0,,0
12.53,,,,,17,3,9,1,1,,10,8,,1,25,,3,0,,,,,,,3,,2,2,,,0,13,,,,,,,,,0,7,1,,,33,2,6,,,,,1,9,,,18,,,0,,1,7,,1,,1,,,1,,,1,3,0,,8,0,0,,2
12.64,,,,,11,3,1,1,0,,5,25,,1,29,,3,0,,,1,,,,11,2,,5,,,2,15,,1,,6,,,,,0,9,0,,,26,7,13,,1,10,,,14,,,14,,,1,,1,4,1,2,,0,1,1,1,,,,,0,,16,0,0,1,8
12.75,,,,,12,2,2,,1,,0,28,,,26,,5,0,,,,,,,2,,,2,,,1,13,,1,,2,1,,,,1,4,2,,,26,0,10,,1,4,,,16,,,20,,,0,5,4,15,1,2,,0,1,2,1,,,,,4,1,16,0,0,,6
12.86,1,,,,8,2,2,1,0,,6,23,,1,28,,6,0,1,,,,,,2,,,3,,,1,0,,,,5,,,,,0,4,3,,,12,2,2,,5,5,,,14,,,28,,,0,1,1,7,,1,,0,4,1,,,,,,0,2,17,0,0,1,7
12.97,1,,,,13,,0,,3,1,2,18,,6,28,,6,0,,,,,,,3,,1,1,,,2,11,,2,,4,,,,,0,8,1,,,32,0,3,,2,6,,,12,,,18,,,2,,5,7,2,,,0,1,5,1,,2,2,1,0,,17,0,1,1,8
13.08,,,,,8,,0,2,2,1,4,18,,3,29,,2,0,,,,,,,5,,,3,,,2,12,,,,1,,,,,0,2,0,,,14,2,3,,3,32,,,35,,,21,,,0,2,12,8,2,,,0,4,3,1,,,,,5,7,12,1,0,2,13
13.18,1,,,,9,2,1,,3,,2,20,,,20,,,0,1,,,,,,11,,1,1,,,4,15,,,,1,,,,,0,2,1,2,,13,0,4,,13,14,,,33,,,15,,,0,,5,4,1,,,0,3,13,,,1,,,2,2,18,0,0,3,4
13.29,1,,,,5,1,3,,2,,5,51,,2,13,,,0,,1,,,,,4,,,5,,,2,22,,,,,,,,2,3,4,0,3,,3,0,,,12,60,,,46,,,13,,,1,,5,2,1,,,0,,6,1,,,,,0,3,20,0,0,5,0
13.49,,,,,1,1,2,,3,,2,13,,1,19,,1,0,,,,,,,4,,1,4,,,4,27,,,,1,,,,,0,8,1,,,1,0,,,13,25,,,51,,,23,,,0,,9,0,7,,,0,1,1,1,,,,,1,3,9,0,1,2,5
13.72,,,,,,,2,,2,,3,9,,1,16,,,0,,1,,,,,1,,,4,,,5,19,,,,,,,,,0,6,0,,,3,0,,,17,51,,,88,,,26,,,0,,4,2,4,,,0,2,1,,,,,,0,1,4,0,0,3,1
13.95,,,,,1,2,1,,2,,2,9,,,27,,,0,,,,,,,1,,,3,,,6,20,,,1,2,,,,3,1,6,0,4,,1,0,5,,7,48,,,54,,,23,,,1,,8,6,4,,,0,1,2,,,1,,,0,2,,0,0,,0
14.18,,,,,1,4,0,,3,,3,20,,,24,,,0,,1,,,,,4,,,3,,,6,26,,,,5,,1,,,0,3,0,3,,2,1,1,,4,58,,,40,,,25,,,1,,5,5,5,1,,0,2,1,3,,,,,1,,8,0,0,2,1
14.41,,,,,6,4,2,1,1,,14,4,,2,10,,4,0,,,,,,,1,,,1,,,4,15,,,,,,,,,0,4,0,,,2,1,,,4,101,,,17,1,,18,,,0,,5,4,4,,,0,2,3,,,1,,,0,7,14,0,0,6,0
14.62,1,,,,2,1,2,,1,,2,20,,,15,,2,1,,1,,,,,,1,,0,,,3,20,,,,,,,,,0,2,1,1,,5,11,3,,,28,,,8,,,17,,,1,,10,15,1,,,0,1,,,,,,,2,13,9,0,0,1,3
14.82,1,,,,1,,0,2,0,,2,5,,,20,,1,1,,,,,,,1,,,4,,,0,11,,,,,,1,,,0,5,2,,,8,21,2,,,4,,,13,,,26,,,0,3,14,19,,,,0,2,5,,,,1,,7,24,10,0,0,,3
15.02,,,,,,,0,,0,,0,,,,,,,0,,,,,,,,,,0,,,0,0,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,0,,0,0,,,,0,,,,,,,,0,,,0,0,,0
15.22,2,,,,2,6,1,,0,,3,12,,,28,,,2,,,,,,,2,,1,2,,,1,7,,,,,,1,,,0,3,2,,,10,26,5,,,7,,,30,,,24,,,0,4,20,15,,1,,0,,1,2,,,,,7,11,8,0,0,1,1
15.40,2,,,,2,11,0,,0,,3,17,,,20,,,0,1,,,,,,3,,,5,,1,2,9,,,,,,,,1,2,1,1,,,5,23,3,,,14,,,12,,,17,,,0,,16,20,,1,,0,,2,1,,,,,6,6,5,0,3,,1
15.48,2,,,,3,10,3,,0,,5,13,,2,13,,,0,,,,,,,2,,,3,,,4,13,,,,,,,,,0,3,2,1,,3,11,2,,,22,,,13,,,14,,,0,1,16,25,,,,0,,7,1,,,,,6,3,5,0,0,7,0
15.56,,,,,3,12,4,,2,,7,18,,5,18,,1,1,,,,,,,,1,,8,3,,3,23,,,1,,,,1,1,1,1,0,1,,7,9,3,,,23,,,16,,,9,,,1,1,8,12,2,3,,0,1,1,1,,,,,10,8,6,0,0,7,3
15.64,,,,,2,31,1,3,0,,5,20,,5,9,,,0,,,,,,,,,,2,,1,4,21,,1,1,1,,1,,,0,2,0,,,,13,,,,26,,,12,,,10,,,0,1,12,13,,,,0,,1,4,,,,,12,3,4,0,0,14,4
15.71,,1,,,,22,0,2,0,,5,21,,5,13,,,4,,,,,,,2,,,3,,,0,16,,,,,,,,4,2,3,0,1,,1,8,,,,44,,,12,,,15,,,1,,5,12,,1,,0,,,2,,,,,17,3,3,0,0,11,2
15.79,1,,,,1,50,0,6,0,,8,18,,3,14,,,0,,,1,,,,,,,0,,,2,9,,,,,,,,1,0,1,0,3,,,9,,,1,29,,,15,1,,16,,,0,,10,16,,1,,0,,,,,,,,6,,,0,0,21,0
15.89,,,,,1,91,0,3,0,,8,15,,5,6,,,0,,,,,,,,,,3,,,5,11,,,,,,,,,0,4,0,3,,,3,,,,16,,,12,,,10,,,0,,10,7,,,,0,,2,,,,,,2,,2,0,0,19,0
15.98,,,,,,106,0,2,0,,4,10,,5,2,,,1,,,,,,,,,,2,,,6,9,,,,,,,,1,0,0,0,,,,2,,,,42,,,10,,,8,,,0,,16,2,,1,,0,1,,1,,1,,,0,,2,0,0,18,0
16.08,,,,,1,62,0,12,0,,10,12,,21,6,,,1,,,,,,,,,,2,1,,8,18,,,,,,,,,1,2,0,,,2,0,,,,35,,,16,,,8,,,1,,11,3,,1,,0,1,1,,,,,,2,2,,0,0,9,0
16.17,,,,,2,75,1,5,0,,3,6,,6,7,,,0,,,,,,,3,2,,0,1,,2,12,,1,,,,,,1,0,2,0,,,3,1,,,,59,,,8,,,7,,,0,,29,3,,,,0,,,,,,,,0,2,,0,0,6,0
16.27,,,,,,,0,,0,,0,,,,,,,0,,,,,,,,,,0,,,0,0,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,0,,0,0,,,,0,,,,,,,,0,,,0,0,,0
16.36,,,,1,6,20,0,5,0,,20,17,,21,4,,,0,,,,4,,,,1,,0,,,0,12,1,,1,,,,,5,0,1,0,1,,5,6,,,3,18,,,18,,,5,,,0,,7,23,,,,0,2,4,1,,,,,4,5,,0,0,4,4
16.44,,,,,,,0,,0,,0,,,,,,,0,,,,,,,,,,0,,,0,0,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,0,,0,0,,,,0,,,,,,,,0,,,0,0,,0
16.51,3,,,,7,2,1,4,1,1,26,22,,26,10,,,2,,,,,,,6,,,2,,,1,11,,,1,,,,,,1,2,0,,,16,8,,,,11,,,10,,,10,,,1,1,11,13,,2,,0,1,5,1,,,,,7,11,4,0,0,1,1
16.59,,,,,,,0,,0,,0,,,,,,,0,,,,,,,,,,0,,,0,0,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,0,,0,0,,,,0,,,,,,,,0,,,0,0,,0
16.67,1,,,,20,,1,2,1,,33,13,,33,8,,,0,,,,,,,3,,,1,,,2,11,,,2,1,,,,4,0,0,3,3,,23,2,,,,3,,,9,1,,12,,,2,6,14,22,,,,0,2,8,1,,,,,11,17,4,0,0,,3
16.75,,,,,,,0,,0,,0,,,,,,,0,,,,,,,,,,0,,,0,0,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,0,,0,0,,,,0,,,,,,,,0,,,0,0,,0
16.82,,,,,15,,0,1,1,,22,5,,42,9,,,1,,,,,,,,,,1,,,0,21,,,1,,,,,,0,0,0,4,,15,7,,,,6,,,2,,,6,,,1,6,10,28,,1,,0,,7,1,,,,,3,19,9,0,0,1,0
16.90,,,,,,,0,,0,,0,,,,,,,0,,,,,,,,,,0,,,0,0,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,0,,0,0,,,,0,,,,,,,,0,,,0,0,,0
16.98,,,,,10,,0,14,2,,28,10,,46,8,,,1,,,,,,,2,,,0,,,0,20,,,,,,,,,1,3,0,2,,8,5,,,,8,,,8,,,5,,,1,1,12,17,,1,,0,1,5,,,1,,,2,12,4,0,0,,1
17.05,,,,,20,,0,7,0,,26,14,,24,11,,,0,,,,,,,1,,,2,,,2,13,2,,1,,,,,,0,0,0,3,,18,0,,,,13,,,6,,,7,,,3,,9,15,,2,,0,2,11,,,,,,12,12,5,0,0,,0
