Age [ka],Depth [cm],FAI,Infaunals[%],Epibenthic[%],Calcareous[%],Porcellaneous[%],Agglutinated[%],Stress Species[%],Oxic[%],Suboxic[%],Dysoxic[%],EBFOI,DO3[mL/L],OM,TR,Time,BWT_Uv  [deg-C],Mg/Ca_Uv  [mmol/mol],Mn/Ca_Uv [mmol/mol],BWT_Mel - Lineal [deg C],BWT_Mel - Expon. [deg C],Mg/Ca_Mel [mmol/mol],Mn/Ca_Mel [mmol/mol],d13C [o/oo],d13C (corrected) [o/oo],dw [permil],,
15.71,267.5,13.7,64.7,35.3,79.3,20.3,0.4,53.9,31.8,45.3,22.9,44.2,3.2,HO,MS,HS1b,3.7,0,1.18,,,,,-0.92,0.33,1.36,,
15.79,272.5,9.9,68.3,31.7,84,16,0,59.7,29.1,32.7,38.2,32.9,2.7,LO,EU,HS1b,,,,,,,,-0.73,0.24,,,
15.89,277.5,8.2,79.8,20.2,90.8,9.2,0,69.7,16.2,29.9,53.9,9.9,1.8,LO,EU,HS1b,,,,,,,,-0.45,0.13,,,
15.98,282.5,8.1,84.9,15.1,90.5,9.1,0.4,77,13,32.1,54.9,6,1.7,LO,EU,HS1b,,,,,,,,-0.23,0.05,,,
16.08,287.5,9.8,78.7,21.3,92.8,6.8,0.4,66.7,19.9,39.8,40.3,21.9,2.3,LO,EU,HS1b,3.6,0,1.17,,,,,-0.12,0.01,1.25,,
16.17,292.5,8.5,77.3,22.7,86.6,13.4,0,71.7,20.4,39.6,40,23.2,2.3,LO,EU,HS1b,,,,,,,,-0.05,0.01,,,
16.27,297.5,,,,,,,,,,,,,,,HS1b,,,,,,,,0.02,0.05,1.58,,
16.36,302.5,13.5,66.4,33.6,81.2,16.6,2.2,52.8,31.4,44.9,23.7,44.1,3.2,HO,EU,HS1b,3.5,0.01,1.16,,,,,0.08,0.1,1.42,,
16.44,307.5,,,,,,,,,,,,,,,HS1b,3.6,0,1.18,,,,,0.1,0.12,1.27,,
16.51,312.5,15.7,58,42,83.5,15.6,0.8,49.8,36.1,45.8,18.1,55.4,3.6,HO,MS,HS1b,4.5,0.01,1.25,,,,,0.11,0.12,1.19,,
16.59,317.5,,,,,,,,,,,,,,,HS1b,3.1,0,1.13,,,,,0.11,0.11,1.17,,
16.67,322.5,15.1,54.3,45.7,80.9,17.4,1.8,47.2,38.1,47.6,14.3,67.2,4.2,HO,MS,HS1b,4.1,0.01,1.22,,,,,0.11,0.11,1.18,,
16.75,327.5,,,,,,,,,,,,,,,HS1a,4.9,0.01,1.29,30.91,-0.02,3.1,0.03,0.12,0.13,1.19,,
16.82,332.5,11.2,49,51,77.1,22.9,0,47.8,44.9,46.2,8.9,78.2,4.8,HO,MS,HS1a,3.8,0.01,1.19,,,,,0.15,0.15,1.17,,
16.9,337.5,,,,,,,,,,,,,,,HS1a,3.4,0,1.15,22.48,-0.02,2.47,0.03,0.18,0.18,1.16,,
16.98,342.5,12.2,55.2,44.8,84.1,15.1,0.8,49.4,40.5,44.5,15,65.8,4.1,HO,MS,HS1a,3.3,0.01,1.14,,,,,0.21,0.21,1.22,,
17.05,347.5,10.8,61,39,85.5,13.7,0.8,56,31.6,50.2,18.2,49.9,3.4,HO,MS,HS1a,3.1,0,1.12,,,,,0.24,0.25,1.35,,
17.12,352.5,12.1,73.9,26.1,89.4,9.7,1,67.1,20.5,59,20.5,28.1,2.5,LO,EU,HS1a,5.6,0.01,1.36,,,,,0.27,0.27,1.47,,
17.19,357.5,10.7,52.4,47.6,81.3,17.1,1.6,46.3,43,43,14,71.7,4.4,HO,MS,HS1a,3,0.01,1.12,,,,,0.28,0.28,1.47,,
17.27,362.5,12.1,48.7,51.3,86.7,12.8,0.4,44.2,44.3,40.6,15.1,69.5,4.3,HO,MS,HS1a,3.5,0,1.16,,,,,0.29,0.29,1.43,,
17.39,367.5,11.3,64.4,35.6,81.2,18,0.8,61.9,28.8,52.4,18.8,45.9,3.2,HO,MS,HS1a,3.7,0.01,1.18,,,,,0.29,0.29,1.48,,
17.51,372.5,11.4,65.1,34.9,83.2,14.7,2.2,58.6,26.5,62.3,11.2,44,3.1,HO,MS,HS1a,,,,20.52,-0.02,2.33,0.03,0.3,0.3,1.66,,
17.64,377.5,14.6,73.4,26.6,89.3,10.2,0.4,68,20.4,63.9,15.7,33.6,2.7,LO,EU,HS1a,4.7,0.01,1.27,,,,,0.31,0.31,1.75,,
17.77,382.5,8,91.5,8.5,96,3.3,0.6,89.7,5.3,92.1,2.5,12.8,1.9,LO,EU,HS1a,5.4,0.01,1.34,,,,,0.32,0.32,1.79,,
17.89,387.5,10.2,73.5,26.5,85.5,13.3,1.2,71.1,22.2,72,5.9,41.9,3.1,HO,EU,HS1a,4.7,0.01,1.28,,,,,0.33,0.33,1.8,,
18.02,392.5,11.5,84.8,15.2,94.2,5.5,0.3,81.2,10,80.7,9.3,21.8,2.3,LO,EU,HS1a,5.1,0.01,1.31,,,,,0.33,0.36,1.79,,
18.15,397.5,9.1,79.5,20.5,91.8,7.5,0.7,77.2,15.6,76.7,7.6,30.9,2.6,LO,EU,HS1a,,,,26.27,-0.02,2.75,0.04,0.29,0.42,1.79,,
18.28,402.5,8.5,86.8,13.2,93.6,5.3,1.1,83.5,9.2,85.4,5.4,22.5,2.3,LO,EU,HS1a,2.7,0,1.09,,,,,0.22,0.49,1.81,,
18.41,407.5,14.1,73,27,82,11.9,6.1,63.9,20.5,63.6,15.9,32.5,2.7,LO,EU,HS1a,5.5,0.03,1.35,30.21,-0.02,3.05,0.04,0.18,0.56,1.86,,
18.55,412.5,12.3,72.9,27.1,87.7,7.6,4.7,68.2,19.9,69.9,10.2,33.6,2.7,LO,EU,Interst,4,0,1.21,,,,,0.33,0.56,1.76,,
18.85,417.5,14.5,66.8,33.2,81.9,12.1,6,58.6,23.7,61.4,15,36.7,2.8,LO,EU,Interst,4.5,0,1.25,,,,,0.48,0.49,1.64,,
19.25,422.5,15.2,58.5,41.5,80.6,15.5,3.9,52.3,26.4,64.3,9.4,47.3,3.3,HO,MS,LGM,2.6,0,1.08,,,,,0.53,0.53,1.66,,
19.67,427.5,,,,,,,,,,,,,,,LGM,5.9,0,1.39,,,,,0.56,0.56,1.93,,
20.1,432.5,14.7,57.9,42.1,81.5,12,6.6,46.7,28.9,61.3,9.8,49.9,3.4,HO,MS,LGM,3.9,0,1.2,27.06,-0.02,2.81,0.02,0.52,0.52,2.31,,
20.51,437.5,13.3,45.6,54.4,77.2,19.8,3,40.1,29.5,59.5,11,46.6,3.3,HO,MS,LGM,,,,23.5,-0.02,2.55,0.02,0.46,0.46,2.92,,
20.87,442.5,11.3,48.5,51.5,74.5,23.8,1.7,46,31.6,58,10.4,55,3.6,HO,MS,LGM,,,,24.01,-0.02,2.59,0.02,0.37,0.39,,,
21.25,447.5,14.3,48.4,51.6,75.3,22.2,2.5,44.7,32.8,59.7,7.5,62.1,4,HO,MS,LGM,5.1,0,1.31,27.01,-0.02,2.81,0.02,-0.11,0.19,2.38,,
21.67,452.5,16.2,53.5,46.5,83.7,12.7,3.7,43.7,29,59.9,11.1,48.3,3.3,HO,MS,LGM,5.5,0.01,1.34,22.19,-0.02,2.45,0.02,-0.43,0.39,2.19,,
22.09,457.5,15,53.7,46.3,81.3,15.7,3,49.6,25.5,64.9,9.6,47.7,3.3,HO,MS,LGM,2.4,0,1.06,13.37,-0.02,1.8,0.01,-0.46,0.48,1.89,,
22.5,462.5,15.3,49.8,50.2,77.3,19.2,3.5,45.5,31.3,57.9,10.7,54.6,3.6,HO,MS,LGM,3.3,0,1.15,14.44,-0.02,1.88,0.01,-0.09,0.43,1.63,,
22.91,467.5,,,,,,,,,,,,,,,LGM,,,,20.3,-0.02,2.31,0.01,0.23,0.36,,,
23.26,472.5,15.5,67.3,32.7,84.3,12.9,2.8,61.3,26,58.6,15.4,42.7,3.1,HO,EU,LGM,3.1,0.01,1.12,,,,,0.38,0.39,1.33,,
23.51,477.5,11.7,50,50,75,21.9,3.1,42.4,37.9,50.4,11.7,70.6,4.4,HO,MS,pre-LGM,4.2,0,1.23,,,,,0.49,0.49,1.59,,
23.76,482.5,17.6,54.9,45.1,80.3,16.5,3.2,46.5,37.1,48.4,14.5,64.7,4.1,HO,MS,HS2,4.6,0,1.27,,,,,0.51,0.52,1.8,,
24.03,487.5,14.4,50.6,49.4,83,13.8,3.2,45.8,37.1,54.1,8.7,64.5,4.1,HO,MS,HS2,5.4,0,1.34,,,,,0.47,0.51,1.89,,
24.29,492.5,16,59.2,40.8,85.2,11.6,3.2,52,34.8,49.1,16.1,56.9,3.7,HO,MS,HS2,5.3,0,1.33,,,,,0.34,0.46,1.91,,
24.54,497.5,12.8,47.5,52.5,84.9,14.3,0.8,41.6,40.9,38.7,20.4,63.7,4,HO,MS,HS2,5,0,1.3,,,,,0.16,0.42,1.89,,
24.8,502.5,8.8,72.7,27.3,85.1,14.9,0,68.5,22.3,55.5,22.3,38.7,2.9,LO,EU,HS2,,,,,,,,0.04,0.42,,,
25.06,507.5,14.2,77.6,22.4,91.5,6.7,1.8,70.4,15.3,70,14.8,22.9,2.3,LO,EU,HS2,,,,,,,,0.02,0.48,,,
25.33,512.5,11.8,68.5,31.5,76.5,23.5,0,60.5,27.3,62.1,10.6,43.1,3.1,HO,EU,HS2,,,,,,,,,,,,
25.59,517.5,16.2,68.3,31.7,80.9,16.5,2.6,57.4,26.2,53.4,20.4,38,2.9,LO,EU,HS2,,,,,,,,0.19,0.63,,,
25.84,522.5,14,64,36,79.8,14.2,6.1,56.7,26.5,56.6,16.9,41.7,3,HO,MS,HS2,2.8,0,1.1,,,,,0.31,0.62,1.52,,
26.1,527.5,,,,,,,,,,,,,,,HS2,5.6,0,1.36,,,,,0.43,0.57,1.63,,
26.35,532.5,13.2,64,36,75.7,15.5,8.8,52.7,31.6,53.3,15.1,49.5,3.4,HO,MS,pre-LGM,4.2,0.01,1.22,,,,,0.5,0.54,1.69,,
26.6,537.5,13.9,62.8,37.2,83.6,12.8,3.6,54.4,31.3,57.3,11.5,53.2,3.6,HO,MS,pre-LGM,4.7,0,1.28,,,,,0.54,0.55,1.64,,
26.85,542.5,13.3,59,41,83.7,11.7,4.7,51.7,29.6,52.7,17.7,54.8,3.6,HO,MS,pre-LGM,3.4,0,1.15,,,,,0.55,0.55,1.56,,
27.09,547.5,19,52.9,47.1,82.5,11.7,5.8,41.6,35.4,48.3,16.3,59.6,3.8,HO,MS,pre-LGM,5.3,0,1.32,,,,,0.54,0.54,1.56,,
