depth	min	max	median	mean
301.5	16115	16682	16342	16356
302.5	16133	16699	16360	16373
303.5	16150	16716	16376	16389
304.5	16163	16732	16392	16405
305.5	16175	16749	16408	16421
306.5	16185	16769	16424	16436
307.5	16200	16787	16439	16452
308.5	16216	16800	16455	16468
309.5	16230	16819	16471	16483
310.5	16243	16837	16486	16499
311.5	16254	16856	16502	16514
312.5	16270	16872	16517	16529
313.5	16287	16886	16532	16545
314.5	16301	16901	16547	16560
315.5	16313	16918	16563	16575
316.5	16323	16936	16578	16590
317.5	16338	16952	16593	16606
318.5	16355	16964	16609	16621
319.5	16371	16976	16624	16636
320.5	16384	16992	16640	16651
321.5	16397	17010	16656	16666
322.5	16412	17026	16671	16682
323.5	16431	17040	16687	16697
324.5	16446	17054	16703	16712
325.5	16459	17070	16718	16728
326.5	16471	17089	16734	16743
327.5	16487	17103	16749	16759
328.5	16506	17114	16764	16774
329.5	16523	17129	16780	16790
330.5	16537	17144	16795	16805
331.5	16550	17160	16811	16820
332.5	16568	17176	16826	16836
333.5	16587	17189	16841	16851
334.5	16605	17203	16856	16866
335.5	16619	17218	16871	16882
336.5	16633	17234	16887	16897
337.5	16651	17249	16902	16912
338.5	16674	17260	16916	16927
339.5	16694	17274	16931	16943
340.5	16711	17287	16946	16958
341.5	16725	17303	16962	16973
342.5	16743	17317	16977	16988
343.5	16768	17329	16991	17004
344.5	16789	17342	17005	17019
345.5	16807	17357	17021	17035
346.5	16821	17371	17036	17050
347.5	16837	17385	17051	17065
348.5	16853	17399	17065	17079
349.5	16868	17414	17080	17094
350.5	16881	17428	17094	17108
351.5	16891	17446	17110	17123
352.5	16906	17462	17124	17137
353.5	16923	17475	17138	17152
354.5	16939	17490	17153	17166
355.5	16951	17505	17167	17181
356.5	16962	17522	17182	17195
357.5	16977	17536	17196	17210
358.5	16995	17550	17210	17224
359.5	17011	17564	17225	17238
360.5	17024	17578	17240	17253
361.5	17036	17595	17254	17267
362.5	17054	17615	17274	17286
363.5	17075	17638	17298	17310
364.5	17092	17661	17323	17333
365.5	17105	17690	17345	17357
366.5	17116	17728	17368	17381
367.5	17135	17760	17391	17405
368.5	17158	17784	17416	17429
369.5	17176	17810	17441	17454
370.5	17191	17843	17466	17479
371.5	17204	17879	17491	17503
372.5	17225	17909	17515	17528
373.5	17250	17929	17540	17553
374.5	17271	17955	17565	17578
375.5	17288	17985	17591	17602
376.5	17303	18016	17616	17627
377.5	17325	18045	17641	17652
378.5	17351	18066	17667	17677
379.5	17373	18089	17691	17702
380.5	17391	18116	17718	17727
381.5	17405	18148	17743	17752
382.5	17429	18175	17768	17777
383.5	17459	18195	17793	17802
384.5	17482	18218	17819	17827
385.5	17501	18242	17845	17852
386.5	17516	18272	17871	17877
387.5	17540	18295	17895	17902
388.5	17570	18314	17921	17927
389.5	17596	18335	17947	17952
390.5	17615	18360	17974	17977
391.5	17634	18388	18000	18002
392.5	17661	18412	18025	18027
393.5	17693	18429	18051	18052
394.5	17722	18448	18077	18077
395.5	17747	18470	18103	18103
396.5	17766	18497	18129	18128
397.5	17794	18519	18153	18153
398.5	17830	18536	18178	18178
399.5	17857	18555	18203	18203
400.5	17880	18577	18229	18228
401.5	17899	18602	18255	18253
