Depth [cm],d18O [per mil PDB] - Cibicidoides spp.,d13C [per mil PDB] - Cibicidoides spp.,sp.
252.5,3.34,0.03,C. robertsonianus
257.5,3.39,0.02,"C. robertsonianus, C. pachyderma"
262.5,3.42,-0.48,C. robertsonianus
267.5,3.38,-0.15,C. robertsonianus
272.5,3.42,0.06,C. robertsonianus
277.5,2.93,0.75,C. robertsonianus
282.5,2.78,0.82,C. pachyderma
287.5,2.75,0.10,C. pachyderma
292.5,2.90,0.40,"C. robertsonianus, C. pachyderma"
297.5,2.90,-0.30,C. pachyderma
302.5,3.08,0.23,C. pachyderma
307.5,2.98,0.90,C. robertsonianus
312.5,3.15,0.22,C. pachyderma
317.5,3.03,0.70,"C. robertsonianus, C. pachyderma"
322.5,3.02,-0.20,C. pachyderma
327.5,3.13,0.24,C. pachyderma
332.5,2.99,0.90,"C. pachyderma, C. robertsonianus"
337.5,3.25,0.18,C. pachyderma
342.5,3.17,0.21,C. pachyderma
347.5,3.22,0.25,C. pachyderma
352.5,3.39,0.34,C. pachyderma
357.5,3.33,0.27,C. pachyderma
362.5,3.23,0.30,C. pachyderma
367.5,3.18,0.30,C. pachyderma
372.5,3.29,0.27,C. pachyderma
377.5,3.28,0.31,C. pachyderma
382.5,3.49,0.35,C. pachyderma
387.5,3.23,0.28,C. pachyderma
392.5,3.43,0.36,C. pachyderma
397.5,3.33,0.39,C. pachyderma
402.5,3.39,0.41,C. pachyderma
407.5,3.95,0.67,"C. robertsonianus, L. lobatula"
412.5,3.42,0.56,C. pachyderma
417.5,3.54,0.42,"C. pachyderma, L lobatula"
422.5,3.60,0.56,"C. pachyderma, L lobatula"
427.5,3.61,0.60,"C. pachyderma, L lobatula"
432.5,3.57,0.54,C. pachyderma
437.5,3.74,0.39,"C. pachyderma, L lobatula"
442.5,3.44,0.52,L. lobatula
447.5,3.76,0.86,C. robertsonianus
452.5,3.86,0.57,C. robertsonianus
457.5,4.17,-0.98,C. pachyderma
462.5,3.69,0.18,"C. pachyderma, C. robertsonianus"
467.5,3.63,0.31,C. pachyderma
472.5,3.29,0.34,C. pachyderma
477.5,3.51,0.56,C. pachyderma
482.5,3.58,0.53,C. pachyderma
487.5,3.39,0.52,C. pachyderma
492.5,3.47,0.52,C. pachyderma
497.5,3.29,0.48,C. pachyderma
502.5,3.88,0.03,"C. robertsonianus, C. pachyderma"
507.5,3.55,0.37,"L. lobatula, C. pachyderma"
517.5,3.45,-0.80,"C. pachyderma, C. robertsonianus"
522.5,3.46,0.41,C. pachyderma
527.5,3.39,0.60,C. pachyderma
532.5,3.52,0.44,C. pachyderma
537.5,3.48,0.59,C. pachyderma
542.5,3.36,0.58,C. pachyderma
547.5,3.40,0.48,C. pachyderma
22.5,2.73,0.20,U. mediterranea
27.5,2.71,0.25,U. mediterranea
32.5,2.44,0.13,U. mediterranea
37.5,2.56,-0.18,U. mediterranea
42.5,2.78,0.33,U. mediterranea
47.5,2.54,-0.12,U. mediterranea
52.5,2.69,0.23,U. mediterranea
57.5,2.60,0.10,U. mediterranea
62.5,2.69,0.02,U. mediterranea
227.5,3.09,0.11,U. mediterranea
232.5,3.59,-0.04,U. mediterranea
237.5,3.10,-0.18,U. mediterranea
242.5,3.92,-0.13,U. mediterranea
347.5,4.02,0.06,U. mediterranea
352.5,3.97,-0.11,U. mediterranea
357.5,4.00,0.05,U. mediterranea
362.5,3.94,-0.25,U. mediterranea
367.5,3.88,-0.17,U. mediterranea
372.5,3.80,-0.01,U. mediterranea
377.5,3.95,-0.05,U. mediterranea
382.5,3.88,-0.17,U. mediterranea
387.5,3.94,0.09,U. mediterranea
392.5,3.79,-0.18,U. mediterranea
397.5,3.88,-0.09,U. mediterranea
402.5,3.84,0.12,U. mediterranea
407.5,3.97,-0.10,U. mediterranea
412.5,3.80,-0.14,U. mediterranea
