"Depth [cm]","Median Age [kyrs]","BWT [deg C]","Q0.025","Q0.16","Q0.84","Q0.975"
52.5,11.35272925,2.32163306837784,1.46388144857993,1.94078759115251,2.69220152290825,3.1652457437203
53,11.40382175,2.34641312780155,1.4582599510932,1.95879848248409,2.72672694074093,3.21960308131733
55,11.6077546,2.41289986101957,1.3791972020924,1.96094762649175,2.86593760154068,3.45884687017853
57.5,11.8405569625,2.46326668349091,1.33151388617835,1.91540775613332,3.02320365008992,3.64057132599287
58,11.89114485,2.47245342794691,1.32826369600545,1.90992800422538,3.05263599337468,3.66855071825631
58,11.89114485,2.47245342794691,1.32826369600545,1.90992800422538,3.05263599337468,3.66855071825631
60,12.0999916,2.49956444688467,1.33918439706677,1.90430642888711,3.14303523165508,3.80989224525023
62.5,12.3442092,2.5132437306696,1.37969104618996,1.9148519584253,3.2035264827983,3.98742858092155
63,12.3936098,2.51281248971431,1.38701960533296,1.9129349868926,3.20686808737136,4.04210093604132
63,12.3936098,2.51281248971431,1.38701960533296,1.9129349868926,3.20686808737136,4.04210093604132
65,12.6015227,2.52047150690453,1.4296995510647,1.90946531381519,3.25753822487883,4.16018902252542
67.5,12.849403725,2.51755409990301,1.46470284351252,1.8624312745374,3.34683071185715,4.20828356279189
68,12.895918225,2.51344239915842,1.46533622344025,1.85070231179937,3.3510073088109,4.20271809878728
70,13.09361515,2.476428993998,1.43073605271566,1.78318329286382,3.36276188261949,4.19385324370458
72.5,13.337197575,2.32421522613888,1.33149137305732,1.64795903454592,3.21607159394703,4.08782638457877
73,13.374596765,2.27683949592268,1.30765554688026,1.61866954013405,3.14208150805502,4.05870385799009
75,13.5262531,2.04109157280181,1.21691019034782,1.49823833076999,2.67795679732379,3.87793911927246
77.5,13.741634935,2.0922505062063,1.17591187696083,1.48657863386264,2.90420222636689,3.68898503876253
80,13.960551725,2.89270882539069,1.44636975421303,2.07472771747677,3.59450536456135,4.08285318162968
82.5,14.16287855,3.2521639994423,1.77378568887845,2.64332568139444,3.83150198465848,4.27817652835859
85,14.40651825,3.22260621388759,1.69559791421582,2.40794853517418,3.89758845675676,4.34395387805488
87.5,14.63170165,3.09231424139814,1.66806321260159,2.30045874635631,3.77882754013991,4.28537374925895
90,14.8697168,3.01403025123691,1.70282341006397,2.31805380772711,3.61815143527992,4.09138438371796
92.5,15.098951375,2.81687870100001,1.48652938299028,2.00192051547765,3.53896443410027,3.91283775124684
95,15.28830485,2.31305982840934,1.07369516761546,1.4916005569367,3.35816609035976,3.82158406757226
97.5,15.488144475,1.74159828541077,0.886055342486773,1.17906961745869,2.31198511444704,3.68875445768711
102.5,15.7754433,2.27703414965229,0.908189890247283,1.20113905613152,3.81710200479483,4.84216179848544
105,15.92821935,3.07897717773503,0.974564984253198,1.36557521190336,4.52840491107829,5.47774074301251
112.5,16.3632181575,3.767040718456,0.581582523918964,1.98918190268269,5.42650512150436,5.98132463183185
113,16.38795735,3.61563418769958,0.460796225627757,1.74422827374226,5.41326551282557,5.97868161042169
113,16.38795735,3.61563418769958,0.460796225627757,1.74422827374226,5.41326551282557,5.97868161042169
117.5,16.623317275,1.65462256005883,0.0244576654745445,0.357732950190536,3.32284908278124,5.77771327905864
120,16.72805525,1.04896904430974,-0.0302940131637025,0.271298825668542,1.6565300049506,5.45182438168934
125,16.9295079,0.759962881872816,-0.00296712948923708,0.303507179410856,1.11414467354187,1.90637952750392
130,17.12816,0.711557363453409,-0.445800819321257,0.256745258892281,1.15168215645199,1.55079706890837
135,17.31811125,0.261705852847682,-0.969375536679325,-0.528060745405868,0.976992813567306,1.49581962468627
138,17.458110925,0.0923488682886628,-1.04818931192056,-0.698246829194524,0.850947478530383,3.49204688165944
142.5,17.729219775,1.04397266968294,-0.908646038106602,-0.550327235407492,3.55392039171974,5.1934847218606
