Core ,Depth [cm],Age [ka],Time Interval,Benthic Foraminifera Interval,Fisher Alpha Index,Infaunals[%],Epibenthic[%],Trophic Conditions,Calcareous[%],Porcellaneous[%],Agglutinated[%],Stress Species[%],Oxic species [%],Suboxic species[%],Dysoxic species [%],Ehanced Benthic Foraminifera Oxygen Index,Inferred Dissolve Oxygen Concentration [mL/L],Oxygen Conditions,Mean d13C [o/oo],d18O sw [permil],Average Age [kyrs] Dd13C,Dd13C (9512-29JPC),Average Age [kyrs] BFDR,BFDR,Cibicidoides pachyderma,Planulina arimenensis,Cibicidoides robertsonianus,Lobatula lobatula,Bolivina cff. spathulata ,Uvigerina peregrina,Oridorsalis umbonatus,Nonionella turgida/pulchella,Bolivina subaenariensis var. mexicana,Uvigerina mediterranea,Melonis barleeanus ,Pullenia bulloides / quinqueloba,Cassidulina teretis/laevigata,Quinqueloculina spp.,Triloculina spp.,Pyrgo spp.,Pyrgoella sphaera,Cibicidoides spp.
GeoB9512-5,117.5,11.3,early Holocene,7,11.5,42.5,57.5,Mesotrophic,96,1.6,2.4,27.8,45.9,39.2,14.9,66.1,4.2,High Oxic,-0.02,,11.34,-0.41,11.22,10.63,18.7,11.1,15.1,0,3.6,1.6,2.4,3.6,0,0,2,0,2.4,0.4,0,0,0,46.03174603
GeoB9512-5,122.5,11.46,Pleistocene,7,15.6,53.7,46.3,Mesotrophic,96.3,2,1.6,42.7,36.9,39.9,23.2,51.4,3.5,High Oxic,-0.18,0.08,11.46,-0.58,11.38,-25.63,17.5,5.7,11,0,11,3.3,1.6,0.8,0.4,2.8,4.1,0,0.8,0.4,0.4,0.4,0,34.55284553
GeoB9512-5,127.5,11.62,Pleistocene,7,10.1,40,60,Mesotrophic,95.7,3.5,0.9,30,47.9,31.1,21,58.3,3.8,High Oxic,-0.18,,11.64,-0.65,11.54,34.38,15.7,13,13,0,6.1,1.3,4.8,0,1.7,0,3,0,0,3,0,0,0,44.7826087
GeoB9512-5,132.5,11.78,Pleistocene,6,14.8,60.9,39.1,Mesotrophic,95.7,2.7,1.6,50.8,18,47.9,34.1,20.4,2.2,Low Oxic,0.01,0.93,11.77,-0.52,11.7,-29.38,4.7,5.9,9,1.2,10.5,1.6,1.6,3.1,0.4,0.4,2.3,2,3.1,0,0,0,0,21.875
GeoB9512-5,137.5,11.93,Pleistocene,6,16.4,50.8,49.2,Mesotrophic,89.1,8.4,2.5,37,39.1,42,19,50.9,3.4,High Oxic,0.32,,11.94,-0.34,11.86,-10.67,5.5,11.3,15.5,0,7.1,2.9,5,1.7,1.7,0,6.3,1.3,2.5,4.6,1.7,0.4,0,33.19327731
GeoB9512-5,142.5,12.08,Pleistocene,6,15.1,59.2,40.8,Mesotrophic,94.8,4.7,0.5,49.8,30.7,54,15.3,40.5,3,Low Oxic,0.39,,12.06,-0.31,12.01,8.67,1.9,14.6,16,0,6.1,4.2,1.9,2.8,0.5,0,13.1,0,5.6,2.8,0.5,0.5,0,33.8028169
GeoB9512-5,147.5,12.19,Pleistocene,6,16.4,39.1,60.9,Mesotrophic,94.5,5.5,0,28.2,54.9,37.7,7.4,77.7,4.7,High Oxic,0.27,,12.17,-0.46,12.14,-11.82,16.8,16,17.2,0,2.1,3.4,4.6,0.8,1.3,0,6.7,0,1.7,2.5,0,0.4,0.4,51.68067227
GeoB9512-5,152.5,12.3,Pleistocene,6,13.8,63.4,36.6,Mesotrophic,95.5,4.5,0,49,25,53.8,21.3,30,2.6,Low Oxic,0.13,,12.33,-0.64,12.25,23.64,2,12.4,12.9,0,5.4,3,5,2.5,0.5,0,15.8,0.5,4.5,2,1,0.5,0,28.71287129
GeoB9512-5,157.5,12.41,Pleistocene,6,13.9,66.2,33.8,Eutrophic,94.5,5.5,0,51.5,24.2,53.9,22.1,29.1,2.6,Low Oxic,0.05,,12.39,-0.72,12.36,-0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2
GeoB9512-5,162.5,12.52,Pleistocene,6,13.9,69,31,Eutrophic,93.5,6.5,0,54,23.4,53.9,22.8,28.1,2.5,Low Oxic,0.01,,12.49,-0.78,12.47,0,0.5,9,12.5,0,8.5,4,4.5,0,1.5,0,16.5,0,5,3.5,0,0.5,0,23.5
