"depth_cm","Median Age","Q0.025","Q0.16","Q0.84","Q0.975"
84.5,9152.60095,8163.21834875,8635.7594132,9665.1238,10131.56615625
85.5,9254.7738925,8227.409293375,8737.41068,9780.9045668,10201.099055
86.5,9364.190775,8280.2369525,8812.733588,9906.239164,10309.1379575
87.5,9458.97685,8397.05367625,8907.610056,9998.577564,10399.09682
88.5,9556.122125,8544.55207375,9025.281248,10055.017082,10434.323890375
89.5,9657.443555,8650.578065,9140.487226,10118.525178,10467.71551625
90.5,9757.938975,8737.818693125,9239.437312,10196.6826,10527.64749875
91.5,9857.408575,8803.8326315,9332.750452,10291.676712,10594.260335
92.5,9952.396425,8932.6245725,9448.8862668,10366.318216,10658.59889
93.5,10048.67,9083.29727125,9586.534512,10422.078512,10692.551226125
94.5,10146.848125,9208.960207,9711.837308,10481.73186,10725.003686875
95.5,10248.21225,9307.5837375,9828.838532,10547.812098,10776.377519875
96.5,10350.7892,9394.7268625,9941.359256,10633.499378,10846.164949
97.5,10438.983455,9566.1827955,10065.78295,10701.792316,10908.14430525
98.5,10514.446375,9824.92255375,10218.022018,10739.6375786,10935.347385
99.5,10591.2387,10073.57848,10362.847738,10785.440598,10971.087700625
100.5,10671.3436,10306.30391375,10501.3304492,10839.586664,11020.97216875
101.5,10755.812575,10491.8743475,10620.480916,10908.878418,11089.1006175
102.5,10818.6608375,10573.87808625,10691.18749,10970.984878,11154.613818125
103.5,10853.73935,10607.21088475,10725.602648,11006.263412,11186.997866025
104.5,10890.8889,10630.32432475,10754.462106,11046.66893,11233.115495
105.5,10923.926675,10652.4084705,10778.6233396,11092.407288,11292.74846
106.5,10956.161,10666.31402475,10798.6095328,11144.409086,11363.6044675
107.5,10987.23449,10692.5326135,10828.398416,11183.3606556,11418.34677125
108.5,11021.5932325,10721.7986225,10858.437018,11214.355826,11439.935555
109.5,11055.14525,10745.87477875,10888.7838754,11248.919338,11473.076284375
110.5,11087.26367,10767.45965575,10914.366726,11287.696295,11520.39205
111.5,11119.616902645,10781.9070065,10937.289192,11331.153198,11575.705784125
112.5,11151.691725,10812.033855,10965.067688,11367.126184,11616.523025
113.5,11184.701475,10843.033762125,10998.550638,11395.4234798,11639.47458
114.5,11217.75425,10869.22591,11030.758022,11430.176121,11669.22312625
115.5,11249.858275,10891.420997625,11059.15344,11465.1048764,11699.80274875
116.5,11281.605975,10907.6046155,11083.6672208,11501.7543236,11751.830645
117.5,11312.5847,10939.6624005,11113.9494052,11534.0994858,11789.229572375
118.5,11343.2813,10978.05754,11147.648436,11562.910024,11810.932122625
119.5,11377.083175,11008.699323,11179.3087,11591.642322,11837.67432225
120.5,11409.195122,11033.6348675,11208.386594,11624.981306,11865.245396125
121.5,11442.524225,11053.008965125,11232.7742412,11661.220218,11900.5312275
122.5,11473.423125,11083.668793625,11263.901942,11693.106486,11929.817184625
123.5,11503.5685925,11121.546501625,11299.5576756,11717.6001316,11950.759515
124.5,11533.808725,11150.5810475,11333.500899,11745.978928,11974.422799375
125.5,11567.00415,11178.57210075,11361.823176,11775.086534,12001.10642625
126.5,11598.5783925,11196.5940575,11388.990188,11807.813688,12035.422603375
127.5,11628.81249,11231.54378875,11420.512938,11838.002896,12062.127591625
