"Depth [cm]","Median Age [kyrs]","Mean d18O [o/oo]","Q0.025","Q0.16","Q0.84","Q0.975"
232.5,14.821929235,2.99186233986818,2.35804987740039,2.77962734924501,3.25273732189068,3.3975989088323
233,14.84087154,2.99221798056315,2.3551587448424,2.79187438852992,3.2344653050125,3.38631225924588
233,14.84087154,2.99221798056315,2.3551587448424,2.79187438852992,3.2344653050125,3.38631225924588
237.5,15.018398225,3.04248513229349,2.72955984927511,2.91276340189048,3.15402885439243,3.33248732176683
242.5,15.2221697725,2.99892905673239,2.70623180565325,2.8382332376489,3.13102563646445,3.25128905336078
247.5,15.3948915125,3.02551630116927,2.67143631868239,2.78074337845865,3.26785407531109,3.4269199946863
252.5,15.4769207075,3.1303574989921,2.68191847838052,2.82937379583876,3.37714819944112,3.46135715378826
253,15.48529164825,3.14127538521508,2.68655668094725,2.84082377942705,3.38207769133734,3.46238638913654
257.5,15.5585832225,3.22212344200842,2.71113041418213,3.02114446288336,3.40698983498092,3.47360288150461
262.5,15.63377202,3.2678995528298,2.74029930556045,3.12733309810578,3.41884757364485,3.48012041378523
263,15.64143725,3.27041244747731,2.73907902447401,3.1332699865232,3.41915415086959,3.48024277390386
267.5,15.7125786415,3.25164729208219,2.68140660636264,3.08707998551009,3.41999503027827,3.48331314675475
272.5,15.79440893,3.15430447175034,2.64252737356677,2.76597651609218,3.40990544910053,3.47633324896605
277.5,15.8893659,3.00094243963592,2.63117599100167,2.72046298404163,3.36069942713355,3.45494650247901
278,15.898372815,2.98705560710957,2.63046403403035,2.71968963350867,3.35118416142508,3.45122717203123
282.5,15.98478732,2.88518083623827,2.63654084663752,2.7196746651958,3.13444869434389,3.42441554339996
283,15.9943586175,2.8786286958871,2.63828710549648,2.72105917019517,3.0988667193461,3.4207266205959
287.5,16.07824506,2.84508515086216,2.65855587473697,2.73338197930024,2.91704466212745,3.37325599919876
288,16.087912975,2.84408317811939,2.66204421083994,2.73473679330654,2.91396525728898,3.3638721270971
292.5,16.172408775,2.85118608961828,2.68021626306554,2.75485163816693,2.92526028811351,3.2016044236196
293,16.1813518775,2.85306188195433,2.6827861618351,2.75712160719904,2.92964452380439,3.18564285209635
297.5,16.2687147825,2.88659555357915,2.70387599007478,2.78254258478297,2.99804971947825,3.13759109756998
298,16.2769132,2.89103395655974,2.70789244713767,2.78751727067514,3.00464536499528,3.13571531789238
302.5,16.35928232,2.93524818204272,2.72669376052702,2.81799811983991,3.06158111592462,3.15433991277731
303,16.36687588,2.93957230227928,2.72931029419772,2.82189788680908,3.06656678759239,3.15729234209599
307.5,16.43690706,2.975947852026,2.75357137357877,2.85634153684874,3.09026363541286,3.16707401542806
308,16.4449208475,2.97989222166521,2.75689396837238,2.86095036693179,3.09198614014063,3.17082623479984
312.5,16.5149305825,3.00890529772703,2.7896618139142,2.90668149458129,3.10640800564249,3.18456078156235
313,16.5221022425,3.01075742965027,2.78929466506613,2.91056446748825,3.10747482947723,3.1812477365646
317.5,16.59098056,3.02945858450054,2.81999098481224,2.94269752270313,3.11621316289081,3.19390163159859
318,16.5987975775,3.03136787635751,2.82754978622716,2.94482437791726,3.11798927929686,3.19529001479506
322.5,16.671708225,3.04779600359841,2.86485212233762,2.96609416394563,3.13085623567947,3.21231684174198
323,16.67922416,3.04959128617827,2.8666032383351,2.96683567099866,3.13299668669728,3.21299348873007
327.5,16.74820675,3.06616072336753,2.89411794480978,2.98442044308376,3.14865744485689,3.23407107618048
328,16.755386725,3.0683140057263,2.89591024406979,2.98628206535134,3.14945363046888,3.23694118495051
332.5,16.8244488525,3.08633948171475,2.92083445159164,3.00474035787022,3.16818583989461,3.26355105921814
333,16.8323632,3.08899969208397,2.92435346657235,3.00637157137448,3.16968293177742,3.26947538703214
337.5,16.9015025525,3.10951878981553,2.94540933484234,3.02568432105015,3.19175382398613,3.30830938650978
338,16.908281955,3.11226781480232,2.94825972903728,3.0275696312532,3.19558516093788,3.31460823823758
342.5,16.97804954,3.13881975373881,2.95920661837481,3.04445388960093,3.2435077049356,3.36249752535926
343,16.984139205,3.14165791915804,2.96132684930663,3.04637624866946,3.25075424355718,3.36775959598663
347,17.0446825775,3.16584471815469,2.98228689188764,3.06200216767335,3.28590326218902,3.38530702694361
347,17.0446825775,3.16584471815469,2.98228689188764,3.06200216767335,3.28590326218902,3.38530702694361
347.5,17.05144673925,3.16796675619792,2.98409193605443,3.06354925392146,3.28916287988273,3.3860053625326
352.5,17.124308965,3.18150828453939,2.98700481936956,3.07393350119549,3.30344962431439,3.40364880101513
353,17.1310694225,3.18078547581799,2.99108068502604,3.07378997711686,3.3022207015266,3.40116705773976
357.5,17.19646526,3.17908768093213,2.9986324196128,3.08223220993177,3.28771411955551,3.40722791150553
358,17.203754355,3.17931467331777,3.00574458526555,3.08262990200317,3.28726163204615,3.40886199285402
362.5,17.275190025,3.18406959313982,3.01372290690284,3.09448389593297,3.27110960942126,3.46111715100237
363,17.287101875,3.18658624985066,3.01778443456605,3.09636342335806,3.2746589109192,3.47209606700505
367.5,17.390886555,3.22408756923648,3.0401582690825,3.11451536308073,3.3592185832664,3.54748982158248
368,17.403957417,3.23148417213429,3.04288227179565,3.11834518817008,3.37678144702637,3.55065827997097
372.5,17.51298804,3.28983287294417,3.06063252205483,3.14649861078974,3.44843982343891,3.57415625008524
373,17.52503048,3.29708165956059,3.06966172962156,3.15285762781816,3.45130023970849,3.57642886786493
377.5,17.635112725,3.33006296195006,3.10241593256278,3.20720793364385,3.45041642609781,3.56551713593926
382.5,17.7615902025,3.33706454650949,3.14711875034519,3.24335443663469,3.43596602722504,3.53868642155196
383,17.773350175,3.33678643307386,3.15028446956476,3.24459602090464,3.43409811058941,3.53744937850012
387.5,17.8911374925,3.32594955909397,3.16318098652959,3.23879134635322,3.41317681009712,3.51748662779426
388,17.904443503,3.32561073199276,3.1609957558379,3.23808258840793,3.41205320653961,3.519022656945
392.5,18.022448195,3.33093191820853,3.15231886802024,3.23234576444631,3.41937870696543,3.67691546179331
393,18.0357483725,3.33323437971664,3.1518372559244,3.23008102909558,3.42385278719382,3.71684934645452
397.5,18.1511190475,3.38733714080165,3.16033333036807,3.2398914881761,3.56088039304661,3.89215992447059
398,18.163222385,3.39571092208847,3.15809205565457,3.24198235546312,3.5927023156727,3.90173678243512
402.5,18.2771442375,3.48730656921372,3.16741820698575,3.2629402153929,3.77730055793002,3.939182579243
407.5,18.405157835,3.57567827954507,3.20789436064801,3.33928502415149,3.82526752940654,3.95169843123894
412.5,18.5532463175,3.54868702244712,3.30293193820475,3.41248353335956,3.73299325730678,3.92420752744624
417.5,18.8675039325,3.51348485904582,3.35929961262678,3.44397428089109,3.58228889130077,3.64849464530005
418,18.9040568425,3.51664422030501,3.35803924677216,3.44675504218369,3.58505438500225,3.65008095189773
422.5,19.2454536825,3.52387652921775,3.33380393632458,3.43440028371196,3.60540716825256,3.66984782415799
423,19.288944745,3.52488044555255,3.33227529106749,3.43287689855464,3.60770370658665,3.67028570256261
427.5,19.6572547275,3.54287232044216,3.35977582359466,3.45426397249771,3.62273380662307,3.68832828170708
432.5,20.0730800575,3.57616647310306,3.39926493555283,3.49321153925403,3.65663491993111,3.7521596877144
433,20.11405655,3.58017263138229,3.40883602492164,3.49638814615663,3.66208287202203,3.75823254269531
437.5,20.5043044875,3.61147389061183,3.43648938003358,3.52291744965202,3.69843062276567,3.78065786296722
442.5,20.8682041525,3.55105920324177,3.3784862985704,3.4489124903723,3.66194607529245,3.80147318232363
447.5,21.233238705,3.70072763892576,3.46037731999948,3.57223600390414,3.82058320408527,3.89937041662863
452.5,21.64504239675,3.74556410529895,3.34900693860049,3.58329365492695,3.87882347257507,4.08946380363464
453,21.686374415,3.74061563860338,3.34215848370104,3.56039383881408,3.88159595484395,4.10066712346298
