depth	min	max	median	mean
389.5	17595	18354	17950	17956
390.5	17616	18379	17976	17981
391.5	17633	18407	18001	18006
392.5	17658	18432	18026	18030
393.5	17688	18449	18052	18055
394.5	17716	18470	18078	18080
395.5	17739	18493	18104	18105
396.5	17758	18519	18129	18130
397.5	17785	18542	18154	18155
398.5	17818	18558	18179	18180
399.5	17848	18576	18204	18205
400.5	17872	18598	18230	18230
401.5	17894	18623	18256	18255
402.5	17926	18645	18281	18280
403.5	17963	18662	18306	18305
404.5	17997	18682	18331	18330
405.5	18025	18703	18357	18356
406.5	18048	18729	18383	18381
407.5	18082	18753	18407	18406
408.5	18126	18768	18431	18431
409.5	18162	18788	18456	18456
410.5	18192	18807	18482	18481
411.5	18216	18830	18508	18507
412.5	18266	18867	18557	18554
413.5	18319	18945	18624	18625
414.5	18353	19085	18687	18695
415.5	18382	19252	18746	18766
416.5	18407	19431	18804	18836
417.5	18460	19551	18872	18909
418.5	18524	19615	18954	18986
419.5	18568	19699	19037	19063
420.5	18601	19801	19116	19139
421.5	18631	19938	19190	19216
422.5	18694	20036	19266	19294
423.5	18769	20085	19350	19373
424.5	18826	20151	19436	19452
425.5	18872	20232	19521	19531
426.5	18908	20336	19603	19610
427.5	18988	20420	19684	19689
428.5	19082	20461	19766	19768
429.5	19153	20509	19852	19847
430.5	19212	20570	19940	19926
431.5	19260	20654	20025	20005
432.5	19357	20720	20103	20084
433.5	19480	20753	20182	20163
434.5	19579	20792	20264	20242
435.5	19650	20843	20348	20320
436.5	19712	20911	20434	20399
437.5	19843	20968	20508	20478
438.5	20040	20997	20575	20558
439.5	20223	21036	20643	20638
440.5	20381	21084	20715	20718
441.5	20495	21146	20792	20798
442.5	20586	21221	20872	20879
443.5	20652	21315	20953	20960
444.5	20693	21459	21027	21041
445.5	20725	21646	21099	21123
446.5	20750	21848	21168	21204
447.5	20806	21979	21243	21285
448.5	20871	22048	21331	21366
449.5	20918	22125	21419	21448
450.5	20956	22234	21504	21529
451.5	20987	22364	21584	21610
452.5	21050	22464	21663	21690
453.5	21128	22520	21749	21770
454.5	21189	22586	21835	21849
455.5	21235	22665	21922	21928
456.5	21272	22764	22005	22008
457.5	21348	22847	22085	22088
458.5	21443	22888	22169	22167
459.5	21517	22936	22256	22247
