,Bolivina cff. spathulata,Bolivina subaenariensis var. mexicana,Bolivina spp.,Brizalina alata,Cassidulina teretis/laevigata,Chilostomella oolina,Cibicidoides pachyderma,Cibicidoides robertsonianus,Globobulimina spp.,Lobatula lobatula,Melonis barleeanus,Neolenticulina variabilis,Nonion fabum,Nonionella turgida/pulchella,Oridorsalis umbonatus,Planulina arimenensis,Pullenia bulloides / quinqueloba,Sigmoilopsis schlumbergeri,Sphaeroidna bulloides,Uvigerina mediterranea,Uvigerina peregrina,"Virgulina subquamosa sensu Bradyi, 1884"
16.08,0.401606426,24.89959839,0,4.819277108,4.016064257,4.819277108,8.43373494,2.409638554,7.228915663,0,0.803212851,0,0,14.0562249,6.425702811,3.212851406,0.401606426,0.401606426,0.401606426,0.803212851,0,3.614457831
16.18,0.809716599,30.36437247,0.4048583,2.024291498,1.214574899,2.429149798,2.429149798,2.834008097,4.858299595,0,1.214574899,0,0,23.88663968,3.238866397,2.834008097,0,0,0,0.809716599,0,2.429149798
16.36,2.620087336,8.733624454,0,2.183406114,8.733624454,7.423580786,9.170305677,1.746724891,5.240174672,0.436681223,2.183406114,0,1.310043668,7.860262009,7.860262009,2.183406114,0,0.873362445,1.746724891,2.183406114,0,1.746724891
16.52,2.880658436,0.823045267,0.411522634,1.646090535,10.69958848,9.053497942,10.69958848,4.115226337,4.526748971,0,6.58436214,0,0,4.526748971,4.115226337,4.115226337,0.411522634,0.411522634,2.057613169,4.526748971,1.646090535,0.411522634
16.67,7.092198582,0,0.354609929,0.709219858,11.70212766,4.609929078,11.70212766,2.836879433,3.90070922,1.063829787,8.156028369,0,0,1.063829787,3.191489362,4.255319149,0.709219858,0.709219858,2.836879433,6.028368794,1.418439716,0
16.82,6.12244898,0,0,0.408163265,8.979591837,2.040816327,17.14285714,3.673469388,8.571428571,1.632653061,6.12244898,0,0,2.448979592,0.816326531,2.448979592,0.408163265,0,2.857142857,7.755102041,3.673469388,0.408163265
16.97,4.184100418,0,0,5.857740586,11.71548117,4.184100418,19.24686192,3.347280335,8.368200837,0.836820084,3.347280335,0,0,3.347280335,3.347280335,2.092050209,0.418410042,0.418410042,2.092050209,5.020920502,1.673640167,0
17.05,8.298755187,0,0,2.904564315,10.78838174,5.809128631,9.958506224,4.564315353,5.394190871,1.244813278,7.468879668,0,0,5.394190871,2.489626556,2.904564315,1.244813278,0.829875519,4.564315353,4.979253112,2.074688797,0
17.12,5.797101449,0,0,6.280193237,8.695652174,7.246376812,7.729468599,1.93236715,7.246376812,2.415458937,8.695652174,0,0,6.763285024,3.381642512,1.93236715,1.93236715,0,1.93236715,7.729468599,3.8647343,0.483091787
17.19,4.06504065,0,0,4.06504065,4.87804878,5.284552846,17.4796748,6.504065041,3.25203252,1.62601626,5.284552846,0,0,0.81300813,2.43902439,0.406504065,0.406504065,0.81300813,2.845528455,12.19512195,4.06504065,0
17.27,2.654867257,0,0,6.194690265,7.522123894,5.752212389,25.66371681,3.539823009,3.097345133,1.327433628,3.097345133,0,0,1.327433628,1.769911504,0.884955752,0.442477876,0,4.867256637,8.849557522,3.982300885,0
