"depth_cm","Median Age","Q0.025","Q0.16","Q0.84","Q0.975"
34.5,5223.697025,4518.8428125,4859.52192,5464.9281,5674.08054625
35.5,5352.19045,4893.568735,5120.588292,5530.842056,5724.37067875
36.5,5484.337975,5233.6189125,5360.476416,5616.565016,5794.72548875
37.5,5592.74125,5390.26313875,5494.280758,5709.685,5879.074815
38.5,5662.41614,5445.36108625,5552.1036044,5787.356388,5947.691339
39.5,5727.60356,5477.03335125,5594.17186,5883.493896,6056.11397875
40.5,5788.482025,5501.725091375,5630.6499678,5988.276164,6208.032065
41.5,5846.754125,5520.12485025,5660.803376,6097.182116,6365.29469
42.5,5905.6316,5568.30459,5709.82040704,6177.387148,6473.0237675
43.5,5974.777875,5623.11532375,5775.55616,6233.568714,6513.3755775
44.5,6043.444,5661.88156875,5827.478456,6301.1622,6562.21983125
45.5,6108.399175,5691.3160075,5872.245372,6377.176772,6624.2899375
46.5,6168.325975,5716.302460875,5912.7262844,6458.739596,6722.55603625
47.5,6229.4308575,5765.55642875,5967.608406,6523.618964,6794.00192875
48.5,6292.5411,5823.472955,6031.10784,6568.945272,6831.5201885
49.5,6356.804475,5866.91388,6088.6280106,6621.31752,6869.0302425
50.5,6422.529275,5908.75710375,6143.64694,6679.701526,6913.0719275
51.5,6484.001525,5943.50775625,6190.195126,6749.669008,6973.595335
52.5,6541.36255,6008.20246375,6255.182148,6803.273904,7022.92223725
53.5,6597.832925,6097.07696875,6335.777414,6835.15721,7048.81909175
54.5,6656.2526,6160.86291375,6409.486524,6875.096627,7075.56174625
55.5,6718.36755,6214.6266125,6475.8618612,6919.679258,7110.15466625
56.5,6781.088575,6253.2208,6531.365438,6974.849818,7158.12376125
57.5,6833.0538,6348.398655,6603.629306,7021.048408,7198.06324
58.5,6881.5685,6490.462505,6692.160256,7047.97866,7222.745326625
59.5,6931.91195,6622.9738675,6778.649254,7077.667778,7247.96971275
60.5,6984.48005,6729.86598875,6857.60472288,7113.148616,7282.76841875
61.5,7040.615515,6800.2427375,6927.057202,7158.8248784,7329.615925
62.5,7117.7252825,6892.7354825,7005.180832,7232.075858,7389.2318525
63.5,7206.1351,6954.75113875,7075.702352,7355.35946,7533.611455
64.5,7284.355825,6990.1830675,7124.91458,7495.477852,7772.594065
65.5,7360.12955,7015.2321725,7167.170962,7640.50926,8052.19885
66.5,7433.919525,7033.80577225,7204.048634,7793.9831336,8350.795695
67.5,7518.06845,7103.63203375,7270.661468,7910.38718,8542.7771325
68.5,7621.76775,7169.31755425,7360.956692,8005.136406,8637.68369375
69.5,7722.881575,7211.24242925,7432.50046,8122.361642,8733.24865
70.5,7817.17735,7251.95673125,7490.888936,8256.082244,8834.6629805
71.5,7909.2705,7280.4584675,7544.090202,8398.937112,8965.06249875
72.5,7998.910525,7348.1572075,7618.261494,8512.217464,9086.9883325
73.5,8094.002275,7418.8563425,7710.33731,8599.288306,9170.708265
74.5,8191.16915,7476.853293125,7797.1069,8699.63745,9279.700705
75.5,8284.25415,7524.25095125,7863.08186,8806.789662,9381.2518075
76.5,8375.1652,7565.1227625,7928.003394,8928.246252,9502.45211
77.5,8467.00794,7642.5206125,8011.490826,9029.341954,9598.75155125
78.5,8564.049,7733.45901,8115.2276,9105.29537776,9653.04878
79.5,8663.644225,7806.16567375,8201.837682,9192.059084,9724.03614875
80.5,8760.473225,7864.982846625,8285.247016,9298.068018,9802.0816825
81.5,8860.6086275,7912.896935,8362.888964,9407.6264048,9903.2517975
82.5,8958.132125,8011.39423,8452.524584,9497.8338244,9984.45836375
83.5,9063.609175,8142.5679825,8569.919132,9572.47581,10031.145905
84.5,9172.597225,8253.53692,8678.535044,9659.368178,10089.34438375
85.5,9282.1083,8330.81997,8771.1473164,9760.055576,10161.2740925
86.5,9387.199575,8397.43032375,8855.831222,9875.83751,10270.81118
87.5,9481.819045,8500.04743,8957.88722,9971.4563312,10360.61234375
88.5,9571.975225,8628.88479875,9077.531656,10038.3243,10406.8280085
89.5,9662.5865,8738.72468875,9192.21648,10111.290542,10457.7560025
90.5,9758.471725,8820.84379,9285.252936,10192.978022,10527.30550125
