Age min (kyrs BP),5th,10th,20th,30th,40th,50th,60th,70th,80th,90th,95th
15000,-5.626,-5.522,-5.335,-5.207,-5.104,-5.030,-4.953,-4.863,-4.767,-4.630,-4.506
15200,-5.912,-5.768,-5.624,-5.509,-5.421,-5.329,-5.244,-5.130,-5.017,-4.848,-4.732
15400,-6.161,-6.038,-5.897,-5.756,-5.646,-5.533,-5.454,-5.361,-5.267,-5.120,-5.001
15600,-6.445,-6.291,-6.104,-5.965,-5.861,-5.739,-5.641,-5.521,-5.408,-5.257,-5.130
15800,-6.766,-6.574,-6.384,-6.285,-6.175,-6.053,-5.945,-5.846,-5.719,-5.509,-5.333
16000,-7.012,-6.834,-6.627,-6.481,-6.358,-6.245,-6.136,-6.049,-5.914,-5.772,-5.629
16200,-7.164,-6.983,-6.766,-6.643,-6.513,-6.385,-6.269,-6.167,-6.022,-5.878,-5.770
16400,-7.349,-7.170,-6.955,-6.804,-6.662,-6.562,-6.443,-6.333,-6.215,-6.008,-5.860
16600,-7.668,-7.492,-7.276,-7.116,-7.010,-6.894,-6.769,-6.663,-6.489,-6.316,-6.124
16800,-7.854,-7.713,-7.510,-7.346,-7.229,-7.130,-6.999,-6.904,-6.760,-6.546,-6.347
17000,-8.103,-7.914,-7.659,-7.490,-7.339,-7.216,-7.094,-6.969,-6.865,-6.660,-6.528
17200,-8.154,-7.952,-7.777,-7.577,-7.456,-7.335,-7.225,-7.088,-6.892,-6.698,-6.540
17400,-8.120,-7.909,-7.688,-7.527,-7.411,-7.267,-7.184,-7.079,-6.906,-6.721,-6.548
17600,-8.188,-7.988,-7.746,-7.575,-7.466,-7.357,-7.216,-7.085,-6.906,-6.693,-6.515
17800,-8.111,-7.981,-7.792,-7.640,-7.490,-7.370,-7.238,-7.086,-6.945,-6.738,-6.502
18000,-8.036,-7.859,-7.651,-7.520,-7.347,-7.243,-7.146,-6.999,-6.886,-6.688,-6.550
18200,-7.895,-7.753,-7.556,-7.421,-7.292,-7.186,-7.063,-6.936,-6.769,-6.601,-6.441
18400,-7.942,-7.756,-7.589,-7.484,-7.361,-7.255,-7.115,-7.002,-6.873,-6.683,-6.513
18600,-7.905,-7.746,-7.552,-7.414,-7.290,-7.150,-7.066,-6.984,-6.849,-6.650,-6.467
18800,-7.852,-7.621,-7.464,-7.324,-7.208,-7.091,-7.009,-6.904,-6.757,-6.585,-6.452
19000,-7.768,-7.640,-7.412,-7.234,-7.116,-7.014,-6.911,-6.816,-6.693,-6.493,-6.370
19200,-7.722,-7.552,-7.365,-7.240,-7.141,-7.014,-6.911,-6.813,-6.681,-6.467,-6.338
19400,-7.819,-7.667,-7.431,-7.281,-7.168,-7.059,-6.950,-6.839,-6.711,-6.511,-6.408
19600,-7.850,-7.690,-7.495,-7.322,-7.195,-7.084,-6.997,-6.900,-6.761,-6.600,-6.466
19800,-7.769,-7.640,-7.482,-7.348,-7.220,-7.126,-7.024,-6.916,-6.745,-6.567,-6.415
20000,-7.712,-7.600,-7.403,-7.268,-7.158,-7.052,-6.928,-6.813,-6.679,-6.463,-6.287
20200,-7.782,-7.625,-7.404,-7.235,-7.129,-7.027,-6.908,-6.798,-6.680,-6.475,-6.251
20400,-7.732,-7.558,-7.391,-7.261,-7.140,-7.056,-6.934,-6.815,-6.650,-6.448,-6.272
20600,-7.774,-7.613,-7.409,-7.276,-7.135,-7.034,-6.918,-6.818,-6.690,-6.451,-6.279
20800,-7.779,-7.607,-7.409,-7.249,-7.148,-7.041,-6.933,-6.833,-6.690,-6.503,-6.355
21000,-7.682,-7.601,-7.393,-7.255,-7.151,-7.039,-6.940,-6.834,-6.704,-6.494,-6.333
21200,-7.709,-7.517,-7.296,-7.156,-7.025,-6.923,-6.796,-6.691,-6.558,-6.324,-6.137
21400,-7.550,-7.395,-7.216,-7.082,-6.990,-6.890,-6.774,-6.652,-6.526,-6.291,-6.063
21600,-7.538,-7.375,-7.180,-7.058,-6.925,-6.829,-6.720,-6.597,-6.447,-6.267,-6.075
21800,-7.564,-7.353,-7.151,-7.040,-6.918,-6.797,-6.692,-6.602,-6.438,-6.217,-6.079
22000,-7.492,-7.332,-7.115,-6.981,-6.858,-6.748,-6.630,-6.518,-6.396,-6.172,-6.021
22200,-7.408,-7.204,-6.991,-6.860,-6.737,-6.624,-6.520,-6.398,-6.275,-6.057,-5.865
22400,-7.280,-7.135,-6.900,-6.761,-6.665,-6.556,-6.428,-6.300,-6.137,-5.970,-5.822
22600,-7.146,-7.003,-6.793,-6.639,-6.529,-6.414,-6.294,-6.222,-6.083,-5.848,-5.726
22800,-7.026,-6.940,-6.723,-6.603,-6.490,-6.413,-6.272,-6.136,-5.992,-5.822,-5.700
23000,-7.094,-6.904,-6.699,-6.565,-6.443,-6.341,-6.231,-6.114,-5.963,-5.761,-5.604
23200,-7.011,-6.865,-6.654,-6.515,-6.382,-6.271,-6.150,-6.034,-5.870,-5.642,-5.444
23400,-6.897,-6.744,-6.583,-6.463,-6.360,-6.284,-6.181,-6.065,-5.916,-5.716,-5.619
23600,-6.905,-6.732,-6.553,-6.405,-6.272,-6.160,-6.053,-5.970,-5.821,-5.629,-5.484
23800,-6.764,-6.634,-6.459,-6.282,-6.188,-6.068,-5.952,-5.851,-5.736,-5.585,-5.414
