"Depth [cm]","Median Age [kyrs]","Mean d18O [o/oo]","Q0.025","Q0.16","Q0.84","Q0.975"
117.5,11.3153404545,2.31215508119475,2.11856302331297,2.18406414910762,2.47851222805773,2.76320656955873
118,11.33074565,2.31586694970144,2.11797631229268,2.18335397755505,2.4890647564677,2.77248373050597
122.5,11.470617775,2.33117908727295,2.11141693549374,2.1874686859939,2.52229081554368,2.78750983792164
123,11.485978105,2.33069310299455,2.11077938102424,2.18715308761261,2.51864039916964,2.77991796961085
127.5,11.63265815,2.31941024513565,2.10521091204975,2.18131358489076,2.45824512329028,2.77807679869064
128,11.64669075,2.31485077802888,2.10194413457648,2.17826065605208,2.44718451566897,2.76140924406614
128,11.64669075,2.31485077802888,2.10194413457648,2.17826065605208,2.44718451566897,2.76140924406614
132.5,11.7874971675,2.29184630899965,2.0995381460798,2.1677104032198,2.40855672133597,2.68112660640819
133,11.8020955,2.29067487852714,2.09803488957904,2.16613434922077,2.40741119241753,2.66095305266377
133,11.8020955,2.29067487852714,2.09803488957904,2.16613434922077,2.40741119241753,2.66095305266377
137.5,11.938894975,2.27242665086224,2.10128962293597,2.16000870288919,2.38566962453515,2.57938083222002
138,11.9530611,2.27336414493618,2.10131049002126,2.16195812458873,2.3841635287418,2.60401305412581
138,11.9530611,2.27336414493618,2.10131049002126,2.16195812458873,2.3841635287418,2.60401305412581
142.5,12.081682785,2.30966614831121,2.10319363487682,2.17244037115882,2.43348258640149,2.8449610586733
143,12.09293635,2.31733240800916,2.10510007242512,2.17420447494027,2.45350024337447,2.84803783533454
147.5,12.193310475,2.40274429649754,2.10543674135073,2.19086910490198,2.77554606165156,2.88446221396204
148,12.2039282875,2.41235987418012,2.1036086356346,2.19287127269501,2.78301721621491,2.88538103991014
152.5,12.297577135,2.48936477103766,2.08535291529089,2.20668423363947,2.82032032469527,2.90444157127269
157.5,12.4118779,2.52331846920201,2.05747481442154,2.20942806876668,2.82974021698668,2.9403257059271
158,12.422979545,2.52640424769799,2.05701699536293,2.21191448160292,2.83008581537636,2.94927919804734
162.5,12.5239988,2.55614082368641,2.05491654510506,2.21916644823129,2.85647736101617,3.05251729039791
163,12.534582625,2.56245291426854,2.04760093667327,2.22824678117843,2.861083348143,3.05761951945907
172.5,12.7459025,2.75249897421685,2.11611450758675,2.43401764955579,3.03784405620992,3.14345332914794
177.5,12.8538964975,2.85881927304094,2.19136991554983,2.629995576679,3.07298805142924,3.16314648857364
178,12.8652541775,2.87000888336328,2.21597674246291,2.64438148372132,3.07576862603607,3.16801221097932
178,12.8652541775,2.87000888336328,2.21597674246291,2.64438148372132,3.07576862603607,3.16801221097932
182.5,12.9626420525,2.93900840467376,2.36255467013842,2.76605835481369,3.09783289384125,3.2006738778433
187.5,13.072888885,3.01775043200681,2.59625859712344,2.91096057724958,3.16710768325482,3.26915114427888
192.5,13.1793429925,3.11669892884325,2.7495879245587,2.97253218254559,3.26783737808357,3.36494497140928
197.5,13.293553105,3.23351396966669,2.89423457279856,3.09023120758295,3.36227225875208,3.46457709466691
202.5,13.5016945,3.37791191786202,3.07559829537548,3.29691954084088,3.47914236880069,3.55181821576379
207.5,13.7234414,3.44834388182154,3.28231819599017,3.38306836992444,3.51736633722268,3.58016372467723
212.5,13.9528699,3.46849583456826,3.29311202608906,3.40538430340582,3.53583985606899,3.60275330263181
217.5,14.1880778,3.43151527099504,3.20465974779237,3.29973739516518,3.53859116772342,3.61093336838047
222.5,14.4083575625,3.29120584788246,2.41298571658456,3.21897322487908,3.49161121272677,3.5939290838665
227.5,14.6236369775,3.06316185912841,2.3119192114507,2.6679844488728,3.3358794999992,3.51132087724614
228,14.6444062575,3.04513730010866,2.3076591864032,2.65670752554554,3.32993996610723,3.49647337990693
232.5,14.82619325,2.99052612171585,2.35604475313463,2.77599271599363,3.25186894027286,3.39349828181535
233,14.8441513275,2.99093405001186,2.37102050516758,2.79115564044774,3.23630186370911,3.38839451839227
233,14.8441513275,2.99093405001186,2.37102050516758,2.79115564044774,3.23630186370911,3.38839451839227
237.5,15.0279252025,3.04140512893813,2.70899839224783,2.91355652387136,3.15342539949798,3.32849444568039
242.5,15.2279990125,2.99734414997787,2.69920550955617,2.83535341825496,3.13081678093816,3.25877073173048
247.5,15.401478085,3.02600744049106,2.66646791754323,2.77701017758711,3.27297729747318,3.43044388715829
252.5,15.48291664925,3.12941524151084,2.68724153661774,2.83169202773837,3.37527584700248,3.46200969331374
253,15.49088715,3.14045464827552,2.69049361870782,2.8428399220159,3.38118109809248,3.46306347814246
257.5,15.56298236,3.2228802533576,2.72185087404612,3.0270503430593,3.40829403442882,3.4698948274689
262.5,15.6412588375,3.26851935689719,2.72886700610642,3.12620461870464,3.42001400327544,3.47918422308991
263,15.648876225,3.26955231798003,2.72602851290061,3.13000914055332,3.42019216974047,3.48074086195389
267.5,15.717691545,3.24841639227845,2.6811326474261,3.07631153605224,3.4204985249664,3.47995766724646
272.5,15.797298025,3.15559802038834,2.64738694385919,2.76756674058254,3.40825807604708,3.47620601173098
277.5,15.8892322325,2.99854867126203,2.63243924954655,2.71998010979107,3.35669051217833,3.45519360167455
278,15.8988085825,2.98417029030666,2.63344459154459,2.71810161828546,3.34589996032318,3.4518195624598
282.5,15.9845718125,2.8887869826296,2.64343764894304,2.71984202205471,3.15510376610589,3.42742465829734
283,15.9943358225,2.88313611327194,2.64573263433863,2.72168836046245,3.12941988229723,3.42345636283796
287.5,16.08383297,2.84888152078739,2.66040050765167,2.73509559198402,2.92071926928263,3.37894463938711
