Age [yr BP],NGRIP Depth [m],NGRIP d18O [o/oo]
7940,1198.38,-34.51
7960,1200.51,-34.78
7980,1202.58,-34.83
8000,1204.84,-33.6
8020,1207.12,-34.04
8040,1209.33,-34.4
8060,1211.48,-34.43
8080,1213.51,-35.05
8100,1215.53,-34.51
8120,1217.62,-34.5
8140,1219.47,-33.96
8160,1221.56,-35.44
8180,1223.46,-35.68
8200,1225.46,-35.54
8220,1227.26,-36.06
8240,1228.99,-35.88
8260,1230.56,-36.03
8280,1232.53,-35.21
8300,1234.78,-35.68
8320,1237.16,-34.5
8340,1239.2,-34.7
8360,1241.04,-34.87
8380,1242.94,-34.95
8400,1244.84,-34.41
8420,1246.74,-35.36
8440,1248.7,-34.79
8460,1250.75,-34.46
8480,1252.59,-35.07
8500,1254.39,-34.7
8520,1256.5,-34.43
8540,1258.4,-34.83
8560,1260.45,-34.99
8580,1262.41,-34.59
8600,1264.2,-34.35
8620,1266.07,-34.83
8640,1267.97,-34.18
8660,1269.66,-35.02
8680,1271.79,-35.46
8700,1273.68,-35.21
8720,1275.67,-34.01
8740,1277.56,-34.92
8760,1279.4,-34.49
8780,1281.18,-35.34
8800,1283.04,-34.22
8820,1285.07,-35.57
8840,1286.76,-35.22
8860,1288.68,-34.08
8880,1290.44,-35.15
8900,1292.17,-34.57
8920,1294.04,-34.17
8940,1295.85,-34.3
8960,1297.54,-34.71
8980,1299.74,-34.57
9000,1301.54,-34.47
9020,1303.4,-34.68
9040,1305.08,-35.57
9060,1306.82,-35.18
9080,1308.46,-34.92
9100,1310.23,-34.73
9120,1312.12,-34.61
9140,1313.93,-34.98
9160,1315.62,-34.47
9180,1317.55,-34.34
9200,1319.24,-34.7
9220,1321.01,-34.83
9240,1322.88,-34.92
9260,1324.4,-35.62
9280,1326.11,-35.66
9300,1327.73,-36.05
9320,1329.25,-35.19
9340,1330.87,-35.04
9360,1332.57,-34.91
9380,1334.36,-34.56
9400,1336.18,-34.87
9420,1337.81,-34.8
9440,1339.56,-34.83
9460,1341.22,-35.12
9480,1342.94,-35.12
9500,1344.72,-34.92
9520,1346.41,-34.66
9540,1347.87,-35.01
9560,1349.52,-34.56
9580,1351.16,-34.98
9600,1352.67,-35.13
9620,1354.48,-34.95
9640,1356.13,-34.77
9660,1357.78,-34.96
9680,1359.35,-34.85
9700,1360.87,-34.84
9720,1362.51,-34.62
9740,1364.19,-34.68
9760,1365.83,-34.87
9780,1367.39,-34.66
9800,1369.07,-34.49
9820,1370.71,-35.12
9840,1371.87,-35.37
9860,1373.44,-35.22
9880,1375.15,-34.54
9900,1376.7,-35.06
9920,1378.2,-35.26
9940,1379.72,-34.85
9960,1381.21,-35.46
9980,1382.79,-34.65
10000,1384.34,-35.1
10020,1385.88,-34.94
10040,1387.37,-35.11
10060,1388.82,-35.79
10080,1390.23,-35.21
10100,1391.72,-35.32
10120,1393.18,-35.29
10140,1394.61,-35.45
10160,1396.05,-34.99
10180,1397.61,-35.02
10200,1399.13,-34.89
10220,1400.55,-35.93
10240,1402.07,-35.54
10260,1403.52,-36.33
10280,1405.04,-36.39
10300,1406.44,-36.01
10320,1407.91,-36.01
10340,1409.42,-35.2
10360,1410.77,-36.12
10380,1412.14,-36.18
10400,1413.48,-36.36
10420,1414.8,-35.96
10440,1416.18,-36.12
10460,1417.5,-36.04
10480,1418.84,-35.53
10500,1420.22,-36.34
10520,1421.55,-35.46
10540,1422.87,-35.73
10560,1424.23,-35.86
10580,1425.59,-35.99
10600,1426.93,-35.89
10620,1428.22,-36.12
10640,1429.54,-36.13
10660,1430.85,-36.16
10680,1432.22,-35.5
10700,1433.5,-35.77
10720,1434.84,-36.05
10740,1436.11,-36.45
10760,1437.43,-35.88
10780,1438.71,-36.22
10800,1439.92,-36.83
10820,1441.16,-35.84
10840,1442.44,-36.59
10860,1443.8,-36.09
10880,1445.12,-37.23
10900,1446.33,-37.6
10920,1447.53,-37.25
10940,1448.64,-37.15
10960,1449.92,-37
10980,1451.03,-38.01
11000,1452.29,-36.53
11020,1453.54,-37.05
11040,1454.75,-36.44
11060,1455.98,-36.64
11080,1457.18,-36.89
11100,1458.38,-37.11
11120,1459.59,-36.71
11140,1460.85,-36.43
11160,1461.97,-37.13
11180,1463.16,-36.62
11200,1464.37,-37.25
11220,1465.52,-37.39
11240,1466.67,-37.6
11260,1467.9,-36.57
11280,1469.13,-36.16
11300,1470.36,-36.58
11320,1471.51,-37.54
11340,1472.66,-36.67
11360,1473.88,-36.91
11380,1475.02,-37.45
11400,1476.16,-37.63
11420,1477.23,-37.11
11440,1478.16,-38.46
11460,1479.15,-38.26
11480,1480.13,-38.72
11500,1481.24,-37.41
11520,1482.32,-37.84
11540,1483.41,-36.9
11560,1484.59,-36.6
11580,1485.69,-36.87
11600,1486.95,-36.78
11620,1488.1,-36.41
11640,1489.26,-36.57
11660,1490.44,-36.68
11680,1491.45,-38.49
11700,1492.33,-39.04
11720,1492.94,-39.6
11740,1493.62,-39.72
11760,1494.26,-40.85
11780,1494.85,-40.55
11800,1495.43,-39.87
11820,1496.06,-40.45
11840,1496.68,-40.97
11860,1497.25,-39.17
11880,1497.81,-38.93
11900,1498.35,-41.52
11920,1498.93,-39.73
11940,1499.53,-41.94
11960,1500.15,-40.34
11980,1500.74,-41.54
12000,1501.29,-40.54
12020,1501.85,-39.6
12040,1502.51,-40.17
12060,1503.09,-39.32
12080,1503.65,-40.77
12100,1504.25,-40.74
12120,1504.78,-41.89
12140,1505.35,-40.61
12160,1505.87,-41.76
12180,1506.37,-42.09
12200,1506.94,-38.91
12220,1507.49,-41.4
12240,1508.03,-40.9
12260,1508.58,-39.9
12280,1509.2,-40.71
12300,1509.74,-41.01
12320,1510.29,-40.41
12340,1510.78,-40.95
12360,1511.34,-41.73
12380,1511.83,-41.17
12400,1512.41,-40.73
12420,1512.95,-41.21
12440,1513.56,-41.05
12460,1514.2,-41.39
12480,1514.75,-40.02
12500,1515.27,-41.91
12520,1515.84,-40.62
12540,1516.38,-39.09
12560,1516.89,-40.95
12580,1517.46,-40.54
12600,1517.94,-41.43
12620,1518.39,-42.71
12640,1518.9,-40.59
12660,1519.5,-41.82
12680,1520.04,-40.92
12700,1520.59,-42.27
