"Depth [cm]","Median Age [kyrs]","Mean d13C [o/oo]","Q0.025","Q0.16","Q0.84","Q0.975"
62.5,7.1177252825,0.461803582206622,-0.0405032362985612,0.352688994088324,0.580262050464379,0.731064994464222
63,7.1633473,0.418680604398889,-0.107935019833208,0.255567029832357,0.542518438780114,0.697090665218596
63,7.1633473,0.418680604398889,-0.107935019833208,0.255567029832357,0.542518438780114,0.697090665218596
67.5,7.51806845,0.275225239610126,-0.202747031170013,-0.0223475372798982,0.525394086170548,0.599383454480483
68,7.570944875,0.282502347681244,-0.207637741736116,-0.0179416626032389,0.52882338519793,0.602975706829954
68,7.570944875,0.282502347681244,-0.207637741736116,-0.0179416626032389,0.52882338519793,0.602975706829954
72.5,7.998910525,0.372402547190989,-0.174897433717267,0.271465212013558,0.539487968923349,0.618764869532307
73,8.047068575,0.377520221562218,-0.161792721514626,0.287165934862081,0.537171483282375,0.618933737476606
77.5,8.46700794,0.37825800120368,-0.0336641663740538,0.309490021324256,0.497247960569815,0.59799234635236
82.5,8.958132125,0.367239260977379,0.217285024431006,0.295752566872205,0.46386369809008,0.565208252289118
83,9.009250945,0.36594188528583,0.215911055492549,0.291043748570232,0.460562470737396,0.56414342796647
87.5,9.481819045,0.358583353930338,0.181553250675092,0.247185131062535,0.470635004243367,0.765185738602846
88,9.5242421,0.362864236336932,0.180049329709073,0.243853385774932,0.48418452309252,0.79653223480741
92.5,9.950790025,0.462262330355038,0.172013614065679,0.233395198137497,0.748671332031093,0.873293221750197
93,9.994845325,0.47874403035789,0.172000008305122,0.235260485183052,0.765238948030578,0.876310430771749
93,9.994845325,0.47874403035789,0.172000008305122,0.235260485183052,0.765238948030578,0.876310430771749
97.5,10.432991975,0.635839651011558,0.187181475305427,0.480524027268493,0.815672452375785,0.88927916276588
102.5,10.825135825,0.503201541057639,0.170442699597321,0.321364480966752,0.709955251810975,0.866400451073299
103,10.843051125,0.495567733676459,0.15992306228477,0.308192819051943,0.707998890079748,0.867881383072934
107.5,10.99384435,0.402485518275864,0.0815111790360128,0.179459247768542,0.685432735236744,0.862363170707617
108,11.01023235,0.388672777838212,-0.00992818973347615,0.171034982163626,0.681258251395318,0.865513955329901
108,11.01023235,0.388672777838212,-0.00992818973347615,0.171034982163626,0.681258251395318,0.865513955329901
112.5,11.1535463975,0.247205157533625,-0.633341954709481,0.129088132708097,0.543971238371214,0.846361245878594
113,11.168606175,0.233736121617256,-0.654458414319274,0.125850418112541,0.495149124867436,0.846887004709097
113,11.168606175,0.233736121617256,-0.654458414319274,0.125850418112541,0.495149124867436,0.846887004709097
117.5,11.3153404545,0.105631488447359,-0.791113362504758,-0.17280139762109,0.27906242468376,0.782152442010036
118,11.33074565,0.094734071466648,-0.809809359846419,-0.205924567635301,0.275589211553453,0.769534185602785
122.5,11.470617775,0.0463725852957824,-0.842443410243908,-0.345453839059502,0.273195734816319,0.565617974205467
123,11.485978105,0.0472216021483882,-0.83725801206959,-0.349882765930288,0.274395796093288,0.568868039577907
127.5,11.63265815,0.0715429169652648,-0.823121545111815,-0.353478020938761,0.356892765055409,0.614762705211652
128,11.64669075,0.0836236305303713,-0.797529192593019,-0.337994170024677,0.377479080873152,0.628987718097899
128,11.64669075,0.0836236305303713,-0.797529192593019,-0.337994170024677,0.377479080873152,0.628987718097899
132.5,11.7874971675,0.19542242618853,-0.622518261823619,-0.245329337633053,0.540848030482291,0.685691109337135
133,11.8020955,0.206582645634821,-0.609212226937421,-0.246995582297164,0.553543719467678,0.693125779915608
133,11.8020955,0.206582645634821,-0.609212226937421,-0.246995582297164,0.553543719467678,0.693125779915608
137.5,11.938894975,0.327961213663048,-0.535502463852263,0.108450785866267,0.627812495789161,0.738865559501315
138,11.9530611,0.333971652111479,-0.535355176519295,0.120051092463488,0.63486666821351,0.743258588721991
