"","Infaunals[%]","Epibenthic[%]","Calcareous[%]","Porcellaneous[%]","Stress Species[%]","Oxic[%]","Suboxic[%]","Dysoxic[%]","EBFOI","Elevated Epifauna"
"12.3",15.4220384334712,8.90294332279251,23.2303575772318,1.09462417903187,11.9192410605692,6.08124543906592,13.0868401848699,5.18122111408416,7.2974945268791,7.78399416200438
"12.52",17.0707570509649,7.66947055912915,23.1321128154379,1.60811479465611,13.3597229094508,5.789213260762,13.3349826818407,5.64077189510144,6.95200395843642,5.44285007422068
"12.63",17.3913043478261,7.74063835134456,22.9454636843428,2.08595124403116,12.1135963810003,5.98140236240261,13.696908771048,5.45363156572003,7.9668258356371,4.52374968585072
"12.75",15.2558816395828,8.99830220713073,20.6160562697065,3.54111084162018,11.011399466408,7.59155954402134,11.1084162017948,5.5542081008974,10.162503031773,6.06354596167839
"12.86",14.2995872784656,9.97815003641661,21.7042971595047,1.28672007768876,10.4394270453994,7.21048798252003,11.2891478514202,5.80237921825686,8.2058752124302,8.49720806020879
"12.97",15.2481419323903,8.726923999041,21.5775593382882,2.20570606569168,11.4361064492927,6.56916806521218,13.4979621193958,3.9079357468233,9.44617597698394,7.19251977942939
"13.07",15.7389635316699,8.25335892514395,19.9136276391555,2.61516314779271,10.436660268714,6.81381957773512,14.1554702495202,3.02303262955854,11.3243761996161,6.23800383877159
"13.18",17.9050567595459,7.89473684210526,23.7874097007224,1.26418988648091,12.4355005159959,4.05056759545924,17.4148606811146,4.3343653250774,5.77915376676987,4.3859649122807
"13.29",21.3903743315508,4.07435701553349,24.8026483320601,0.662083015024192,16.1701044053985,2.03717850776674,17.8762414056532,5.55131143366437,2.85204991087344,4.58365164247517
"13.49",18.9463019250253,6.38297872340426,23.5815602836879,1.34245187436677,11.2208713272543,3.97669706180344,19.1489361702128,2.17831813576494,6.48429584599797,6.3323201621074
"13.72",20.95654409874,4.75700694265878,24.8650038570327,0.565698122910774,11.0825404988429,2.51992800205708,21.985086140396,1.20853689894574,4.83414759578298,6.94265878117768
"13.96",17.6073926073926,7.36763236763237,23.4015984015984,1.47352647352647,9.84015984015984,4.94505494505495,18.3316683316683,1.6983016983017,8.49150849150849,6.74325674325674
"14.19",17.5688976377953,7.03740157480315,22.9822834645669,1.35334645669291,12.5246062992126,4.06003937007874,17.7165354330709,2.82972440944882,6.76673228346457,6.88976377952756
"14.41",19.6191853458665,4.48300795372379,22.9211858279103,1.01229211858279,16.943841889612,2.77175222945288,19.5227765726681,1.80766449746927,4.940949626416,5.78452639190166
"14.62",15.1268549545237,8.80804212541886,18.8846337960747,4.93058879846817,12.7812350406893,7.75490665390139,12.5897558640498,3.59023456199138,10.6270943034945,4.78697941598851
"14.82",10.3760445682451,12.8365831012071,15.7845868152275,7.21912720519963,7.4280408542247,10.8402971216342,11.3509749303621,0.998142989786444,16.6898792943361,6.26740947075209
"15.22",10.7201118620368,12.5844791423911,16.0801677930552,7.22442321137264,6.66511302726637,11.3726404101608,9.48496853880214,2.44698205546493,17.8280121183873,5.59310184106269
"15.39",11.9449806949807,12.1862934362934,16.7471042471042,7.38416988416988,8.49420849420849,11.3899613899614,8.3011583011583,4.41602316602317,15.0337837837838,4.1023166023166
"15.48",12.7864897466828,11.3389626055489,17.394451145959,6.73100120627262,9.98793727382388,9.74668275030157,10.5428226779252,3.81182147165259,13.5585042219542,4.10132689987937
"15.56",16.4657666345227,7.64223722275796,19.5998071359691,4.12246865959499,12.7290260366442,7.47348119575699,11.9334619093539,4.70106075216972,11.0896817743491,3.8572806171649
"15.64",15.8649173955296,8.43051506316812,18.5131195335277,5.3935860058309,13.3138969873664,7.84742468415938,9.30515063168124,7.14285714285714,10.131195335277,3.64431486880466
"15.71",15.4378429968981,8.42281078501551,18.9214984490575,4.84371271772847,12.8608923884514,7.58768790264853,10.8088761632069,5.46408971605822,10.5464089716058,5.01073729420186
"15.79",16.4737095996141,7.64592378195851,20.260492040521,3.85914134105162,14.3994211287988,7.01881331403763,7.88712011577424,9.21369995176073,7.93535938253738,5.30631934394597
"15.89",20.0704225352113,5.08048289738431,22.8370221327968,2.31388329979879,17.5301810865191,4.07444668008048,7.52012072434608,13.556338028169,2.48993963782696,4.5271629778672
"15.98",21.4393939393939,3.81313131313131,22.8535353535354,2.2979797979798,19.4444444444444,3.28282828282828,8.10606060606061,13.8636363636364,1.51515151515152,3.28282828282828
"16.08",18.845785440613,5.10057471264368,22.2222222222222,1.62835249042146,15.9722222222222,4.76532567049808,9.53065134099617,9.65038314176245,5.24425287356322,6.94444444444444
"16.18",18.9507232164746,5.56508948271635,21.2306937974994,3.28511890169159,17.5778377053199,5.00122579063496,9.70826182887963,9.80632507967639,5.68766854621231,3.18705565089483
"16.36",15.6640717150271,7.92639773531493,19.1554611936778,3.91601792875678,12.4557678697806,7.40740740740741,10.5921207832036,5.59094125973107,10.4033970276008,6.36942675159236
"16.52",13.148945817275,9.52165041940603,18.9299478576287,3.53661301292224,11.2899569258671,8.18408524144185,10.3831330763999,4.10337791883927,12.5595103151213,8.16141464520517
"16.67",11.7405405405405,9.88108108108108,17.4918918918919,3.76216216216216,10.2054054054054,8.23783783783784,10.2918918918919,3.09189189189189,14.5297297297297,10.3783783783784
"16.82",10.2510460251046,10.6694560669456,16.1297071129707,4.7907949790795,10,9.39330543933054,9.6652719665272,1.86192468619247,16.3598326359833,10.8786610878661
