depth	min	max	median	mean
356.5	16962	17532	17182	17196
357.5	16977	17547	17196	17210
358.5	16995	17561	17210	17225
359.5	17011	17575	17224	17240
360.5	17023	17590	17239	17254
361.5	17035	17606	17255	17269
362.5	17053	17624	17274	17288
363.5	17075	17644	17298	17311
364.5	17092	17667	17322	17335
365.5	17106	17696	17345	17358
366.5	17118	17735	17367	17382
367.5	17137	17767	17390	17406
368.5	17160	17789	17416	17431
369.5	17178	17814	17442	17456
370.5	17193	17843	17468	17480
371.5	17207	17881	17492	17505
372.5	17229	17911	17516	17530
373.5	17254	17932	17542	17555
374.5	17273	17956	17567	17580
375.5	17289	17985	17593	17605
376.5	17305	18019	17619	17630
377.5	17326	18049	17644	17655
378.5	17352	18068	17669	17679
379.5	17372	18090	17694	17704
380.5	17390	18117	17720	17729
381.5	17406	18149	17744	17753
382.5	17429	18177	17769	17778
383.5	17456	18197	17794	17803
384.5	17477	18219	17820	17828
385.5	17496	18243	17845	17853
386.5	17513	18276	17871	17878
387.5	17538	18302	17895	17903
388.5	17568	18319	17921	17928
389.5	17592	18342	17947	17954
390.5	17613	18367	17974	17979
391.5	17631	18396	18000	18005
392.5	17656	18422	18026	18030
393.5	17690	18441	18051	18055
394.5	17716	18461	18077	18080
395.5	17740	18483	18104	18105
396.5	17762	18509	18131	18131
397.5	17789	18530	18156	18156
398.5	17823	18548	18181	18181
399.5	17853	18566	18207	18205
400.5	17879	18588	18232	18230
401.5	17899	18612	18257	18255
402.5	17930	18635	18282	18280
403.5	17969	18650	18307	18305
404.5	18000	18670	18332	18330
405.5	18025	18687	18358	18355
406.5	18046	18712	18384	18379
407.5	18082	18733	18408	18404
408.5	18125	18748	18432	18429
409.5	18162	18765	18457	18454
410.5	18192	18786	18482	18479
411.5	18216	18808	18508	18504
412.5	18265	18845	18556	18551
413.5	18318	18922	18621	18619
414.5	18355	19054	18682	18688
415.5	18382	19215	18739	18756
416.5	18405	19396	18794	18824
417.5	18460	19517	18862	18897
418.5	18524	19583	18944	18974
419.5	18568	19667	19026	19051
420.5	18604	19777	19104	19128
421.5	18633	19912	19177	19205
422.5	18695	20012	19253	19283
423.5	18771	20067	19338	19361
424.5	18825	20128	19425	19439
425.5	18869	20210	19509	19518
426.5	18909	20314	19589	19596
427.5	18980	20402	19669	19675
428.5	19076	20438	19752	19755
429.5	19146	20489	19840	19836
430.5	19200	20557	19931	19916
431.5	19245	20644	20017	19996
432.5	19337	20714	20097	20076
433.5	19464	20747	20177	20156
434.5	19559	20785	20260	20236
435.5	19630	20837	20348	20316
436.5	19689	20907	20436	20397
437.5	19821	20968	20510	20476
438.5	20018	21000	20576	20556
439.5	20206	21034	20643	20635
