depth	min	max	median	mean
339.5	16695	17287	16930	16945
340.5	16711	17302	16946	16960
341.5	16724	17317	16961	16975
342.5	16744	17332	16976	16990
343.5	16769	17345	16990	17006
344.5	16788	17358	17005	17021
345.5	16806	17373	17020	17037
346.5	16821	17389	17036	17052
347.5	16837	17402	17051	17067
348.5	16853	17414	17065	17082
349.5	16867	17428	17080	17096
350.5	16880	17446	17095	17111
351.5	16891	17463	17109	17125
352.5	16905	17477	17123	17140
353.5	16922	17491	17138	17154
354.5	16937	17506	17153	17169
355.5	16950	17520	17168	17183
356.5	16960	17536	17183	17198
357.5	16976	17552	17197	17212
358.5	16994	17566	17211	17227
359.5	17009	17581	17226	17241
360.5	17023	17595	17241	17256
361.5	17034	17612	17256	17270
362.5	17052	17630	17275	17289
363.5	17072	17649	17299	17313
364.5	17089	17672	17323	17336
365.5	17103	17700	17345	17359
366.5	17115	17733	17367	17383
367.5	17135	17764	17390	17407
368.5	17158	17787	17416	17431
369.5	17177	17812	17441	17455
370.5	17194	17845	17465	17480
371.5	17208	17883	17489	17504
372.5	17228	17914	17514	17529
373.5	17252	17934	17539	17554
374.5	17272	17960	17564	17579
375.5	17290	17989	17591	17604
376.5	17305	18024	17616	17629
377.5	17325	18052	17641	17654
378.5	17350	18072	17666	17678
379.5	17372	18098	17692	17703
380.5	17390	18125	17717	17728
381.5	17406	18157	17741	17753
382.5	17429	18186	17767	17778
383.5	17456	18206	17793	17803
384.5	17478	18227	17819	17828
385.5	17497	18254	17845	17853
386.5	17515	18283	17871	17878
387.5	17540	18308	17896	17903
388.5	17569	18326	17921	17928
389.5	17597	18346	17947	17954
390.5	17618	18372	17974	17979
391.5	17638	18400	17999	18004
392.5	17665	18424	18024	18030
393.5	17695	18442	18050	18055
394.5	17722	18462	18076	18080
395.5	17744	18485	18103	18105
396.5	17763	18512	18129	18131
397.5	17789	18533	18155	18156
398.5	17827	18548	18181	18181
399.5	17855	18569	18206	18206
400.5	17880	18590	18232	18232
401.5	17901	18617	18258	18257
402.5	17931	18637	18283	18282
403.5	17969	18652	18307	18307
404.5	17998	18672	18333	18331
405.5	18025	18692	18359	18356
406.5	18047	18716	18385	18381
407.5	18081	18738	18409	18406
408.5	18124	18755	18433	18430
409.5	18162	18774	18458	18455
410.5	18190	18791	18483	18480
411.5	18213	18816	18509	18504
412.5	18263	18854	18556	18551
413.5	18317	18932	18622	18619
414.5	18353	19061	18682	18688
415.5	18381	19223	18740	18757
416.5	18404	19397	18797	18825
417.5	18457	19517	18864	18897
418.5	18521	19581	18945	18973
419.5	18565	19662	19026	19048
420.5	18599	19765	19101	19123
421.5	18630	19893	19174	19199
422.5	18692	19995	19249	19276
423.5	18767	20050	19334	19354
424.5	18824	20118	19419	19433
425.5	18871	20203	19503	19511
426.5	18907	20309	19583	19590
427.5	18983	20392	19661	19669
428.5	19079	20434	19746	19750
429.5	19149	20486	19836	19831
430.5	19201	20554	19927	19911
431.5	19248	20639	20013	19992
432.5	19338	20711	20094	20072
433.5	19458	20743	20172	20153
434.5	19554	20780	20256	20233
435.5	19628	20833	20345	20313
436.5	19692	20904	20430	20393
437.5	19821	20963	20505	20473
438.5	20024	20991	20571	20552
439.5	20211	21027	20639	20632
440.5	20377	21071	20709	20712
441.5	20491	21133	20786	20792
442.5	20582	21210	20867	20872
443.5	20650	21303	20946	20954
444.5	20692	21446	21022	21035
445.5	20724	21630	21094	21117
446.5	20749	21829	21164	21199
447.5	20804	21960	21239	21280
448.5	20870	22030	21325	21360
449.5	20914	22113	21415	21440
450.5	20950	22216	21496	21520
451.5	20979	22350	21576	21601
452.5	21045	22454	21656	21681
453.5	21126	22511	21743	21762
454.5	21185	22572	21830	21842
455.5	21231	22650	21917	21923
456.5	21270	22756	22001	22003
457.5	21349	22838	22083	22083
458.5	21442	22881	22167	22163
459.5	21515	22928	22253	22242
460.5	21572	22988	22340	22322
461.5	21619	23071	22424	22401
462.5	21710	23140	22502	22481
463.5	21835	23177	22582	22562
464.5	21938	23218	22667	22642
465.5	22014	23272	22754	22723
466.5	22080	23346	22840	22803
467.5	22214	23409	22914	22883
468.5	22421	23440	22978	22964
469.5	22621	23475	23043	23044
470.5	22790	23523	23113	23125
471.5	22920	23585	23190	23205
472.5	22991	23651	23256	23272
473.5	23033	23710	23310	23325
474.5	23062	23791	23363	23378
475.5	23085	23899	23412	23432
476.5	23102	24025	23459	23485
477.5	23137	24115	23506	23537
478.5	23177	24164	23559	23588
479.5	23206	24230	23613	23639
480.5	23229	24311	23664	23690
481.5	23252	24402	23712	23741
482.5	23288	24479	23763	23792
483.5	23332	24527	23815	23844
484.5	23364	24585	23869	23895
485.5	23392	24656	23921	23946
486.5	23417	24741	23971	23997
487.5	23455	24802	24022	24048
488.5	23501	24846	24073	24098
489.5	23540	24896	24126	24149
490.5	23574	24962	24177	24200
491.5	23603	25036	24226	24250
492.5	23644	25092	24277	24301
493.5	23696	25134	24331	24352
494.5	23732	25178	24383	24403
495.5	23769	25242	24434	24454
496.5	23799	25312	24486	24505
497.5	23846	25364	24536	24555
498.5	23900	25405	24588	24606
499.5	23947	25453	24640	24657
500.5	23982	25504	24694	24707
501.5	24014	25568	24744	24758
502.5	24060	25622	24796	24809
503.5	24118	25660	24849	24860
504.5	24163	25704	24902	24911
505.5	24204	25754	24955	24962
506.5	24238	25813	25005	25013
507.5	24286	25862	25057	25064
508.5	24346	25900	25109	25115
509.5	24396	25941	25162	25167
510.5	24439	25988	25216	25218
511.5	24478	26047	25268	25269
512.5	24528	26098	25319	25320
513.5	24584	26133	25371	25370
514.5	24635	26171	25424	25421
