Core ,Age [ka],Depth [cm],Infaunals[%],Stress Species[%],Oxic[%],Suboxic[%],Dysoxic[%],EBFOI,Inferred Dissolve Oxygen Concentration [umol/kg],OM,TR,Time,Cibicidoides spp.,Cibicidoides (%) - Cib. Robtsonianus,(1) Elevated Epifaunal,(2)( Elevated Epifaunal - C. robertsonianus,(1) porcentage,(2) porcentage - C. robertsonianus,Current Velocities (1),Current Velocities (2),Cibicidoides pachyderma,Planulina arimenensis,Cibicidoides robertsonianus,Lobatula lobatula,Bolivina cff. spathulata ,Uvigerina peregrina,Oridorsalis umbonatus,Nonionella turgida/pulchella,Bolivina subaenariensis var. mexicana,Uvigerina mediterranea,Melonis barleeanus ,Pullenia bulloides / quinqueloba,Cassidulina teretis/laevigata,Quinqueloculina spp.,Triloculina spp.,Pyrgo spp.,Pyrgoella sphaera
GeoB9512-5,20.51,437.5,45.6,40.08438819,32.06751055,32.48945148,5.907172996,71.32203048,191.96,HO,MS,LGM,5.49,1.69,35,26,14.76793249,10.97046414,0.113304846,0.096501191,1.7,1.7,3.8,7.6,2.1,2.5,2.1,0,0,0,8.9,5.5,3.8,5.5,2.1,4.2,5.1
GeoB9512-5,20.87,442.5,48.5,46.0251046,30.9623431,28.87029289,12.13389121,60.81898777,169.62,HO,MS,LGM,5.02,2.93,25,20,10.46025105,8.368200837,0.094442164,0.086448813,2.1,0.4,2.1,5,1.7,2.1,0,1.3,0,0.4,13,3.3,3.8,9.2,5.4,4.6,6.3
GeoB9512-5,21.25,447.5,48.4,44.72727273,35.27272727,38.18181818,11.63636364,67.18154055,182.98,HO,MS,LGM,8.73,3.64,27,13,9.818181818,4.727272727,0.091913331,0.07411687,1.5,1.1,5.1,0,2.5,1.8,0.7,1.5,0,0,8.7,1.5,11.6,8,2.2,6.2,5.1
GeoB9512-5,21.66,452.5,53.5,43.67346939,33.87755102,39.59183673,10.20408163,68.60510933,186.04,HO,MS,LGM,14.29,8.98,54,41,22.04081633,16.73469388,0.154087601,0.123127558,6.1,3.3,5.3,4.5,4.5,2.9,1.6,0.8,0.8,2,7.8,2.9,13.1,5.7,0.8,3.7,1.2
GeoB9512-5,22.09,457.5,53.7,49.62686567,28.73134328,36.19402985,10.44776119,62.72082957,173.56,HO,MS,LGM,8.96,5.22,43,33,16.04477612,12.31343284,0.119588498,0.10213805,4.5,0.4,3.7,6.7,3.4,5.6,2.2,1.9,0,1.1,10.1,1.5,10.4,4.5,2.2,5.6,1.5
GeoB9512-5,22.51,462.5,49.8,45.49019608,33.33333333,34.11764706,10.19607843,74.27586207,198.50,HO,MS,LGM,11.37,6.67,52,40,20.39215686,15.68627451,0.143714566,0.117789848,6.7,2,4.7,7.1,3.1,5.5,0.8,0.4,0,1.2,7.8,1.2,10.6,4.7,3.5,4.7,3.5
GeoB9512-5,23.25,472.5,67.3,61.29032258,29.43548387,25,24.19354839,49.24204259,146.62,HO,EU,pre-LGM,10.08,8.06,41,36,16.53225806,14.51612903,0.122078406,0.112105198,6.9,1.2,2,5.2,6.5,2.8,2.4,5.6,0.4,0.8,7.3,3.6,6.9,5.2,1.2,6.5,0.4
GeoB9512-5,23.5,477.5,50,42.36111111,41.31944444,31.94444444,11.45833333,87.36103397,228.98,HO,MS,pre-LGM,13.89,9.38,59,46,20.48611111,15.97222222,0.144286482,0.119222283,9.4,1,4.5,5.6,5.2,3.8,2.8,4.2,0,3.1,4.2,2.1,7.3,2.4,8.3,4.5,4.5
GeoB9512-5,23.76,482.5,54.9,46.47887324,38.02816901,27.81690141,13.02816901,82.82225893,218.13,HO,MS,HS2,17.25,11.27,72,55,25.35211268,19.36619718,0.177238521,0.137614979,10.9,1.4,6,6.7,5.6,4.9,1.4,5.6,0,2.5,4.9,2.1,2.8,3.5,1.4,6.3,2.8
GeoB9512-5,24.01,487.5,50.6,45.84980237,39.5256917,35.96837945,11.85770751,77.235339,205.18,HO,MS,HS2,21.74,16.6,69,56,27.27272727,22.13438735,0.192228472,0.154698292,15.8,2.4,5.1,3.2,4.7,2.4,2,2.8,0,4,7.5,1.6,11.1,3.2,3.6,2,2
GeoB9512-5,24.26,492.5,59.2,52,34.8,34.8,15.2,63.59488186,175.39,HO,MS,HS2,21.2,18,62,54,24.8,21.6,0.173149865,0.151242891,16.8,0,3.2,3.6,6.4,3.6,0.8,3.2,0,2,4.8,1.2,12.4,2.8,1.2,4,2
GeoB9512-5,24.53,497.5,47.5,41.59663866,43.69747899,26.47058824,16.38655462,69.16556507,187.25,HO,MS,HS2,25.21,8.82,75,36,31.51260504,15.12605042,0.229961691,0.115033144,6.7,0.8,16.4,5.5,5.5,1.3,2.5,5.9,0,1.7,2.9,2.5,0,7.1,0.8,5,1.3
GeoB9512-5,24.79,502.5,72.7,68.51211073,26.29757785,53.28719723,7.266435986,48.06435697,144.37,LO,EU,HS2,6.23,3.11,32,23,11.07266436,7.958477509,0.096918998,0.084964426,2.1,1,3.1,3.8,3.8,0.7,1.7,17.3,0,0,0.3,0.3,24.9,5.2,0,9.7,0
GeoB9512-5,25.05,507.5,77.6,70.40358744,20.1793722,58.29596413,8.071748879,34.17785644,119.05,LO,EU,HS2,7.62,4.93,26,20,11.65919283,8.968609865,0.099352019,0.088671007,4,1.8,2.7,2.2,4.9,7.6,1.3,13,0,0,4,0.4,26.9,0.9,1.8,3.1,0
GeoB9512-5,25.31,512.5,68.5,60.5,30,57,7,47.30684658,142.94,HO,EU,HS2,4,2,13,9,6.5,4.5,0.079884344,0.073408218,2,0,2,2.5,2,1,3.5,16.5,0,0,0,0.5,27.5,11,0,11,0
GeoB9512-5,25.57,517.5,68.3,57.39130435,28.26086957,49.13043478,10.43478261,43.14885613,135.16,LO,EU,HS2,7.83,6.52,21,18,9.130434783,7.826086957,0.089279655,0.084490258,4.3,0,1.3,1.3,3.9,0.9,3.9,7.4,0,0,2.2,0.9,20,7.4,2.6,4.3,0.9
GeoB9512-5,25.84,522.5,64,56.68016194,31.57894737,37.24696356,18.21862348,57.67435421,163.21,HO,MS,HS2,10.12,7.29,35,28,14.17004049,11.33603239,0.110477054,0.098004035,4.9,0.8,2.8,3.2,10.9,9.3,2,0,0,0,6.1,0.8,18.2,5.3,3.2,1.6,3.2
GeoB9512-5,26.36,532.5,64,52.71966527,31.79916318,46.0251046,11.29707113,64.94567091,178.23,HO,MS,HS2,13.39,11.72,37,33,15.48117155,13.80753138,0.116773011,0.108797011,8.4,0.4,1.7,1.7,9.2,11.7,1.3,0,0,0,6.7,0.4,17.6,6.3,2.1,3.8,2.1
GeoB9512-5,26.6,537.5,62.8,54.4,33.2,39.6,8.4,65.1087714,178.57,HO,MS,pre-LGM,17.2,15.6,55,51,22,20.4,0.15382197,0.143762221,12.8,0.8,1.6,4,3.2,6.8,2.4,0.4,0,5.6,7.2,0.8,17.2,3.6,1.2,4,2.4
GeoB9512-5,26.85,542.5,59,51.66666667,31.33333333,40.33333333,11.66666667,65.27643172,178.93,HO,MS,pre-LGM,15.33,11,53,40,17.66666667,13.33333333,0.128075153,0.106637855,10.3,0.3,4.3,2,7.7,4,1.3,0.7,0.7,1.3,9.3,3,13,5.3,0,3,0.7
GeoB9512-5,27.08,547.5,52.9,41.60583942,43.06569343,33.94160584,12.04379562,74.61537627,199.26,HO,MS,pre-LGM,20.44,16.06,71,59,25.91240876,21.53284672,0.181486494,0.150814166,14.2,2.9,4.4,2.6,4.7,1.8,2.2,1.1,0,4,2.2,2.6,10.6,4,1.1,5.5,0
,,,,,,,,,,,,,,,,,,13.91424589,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6.775475185,,,,,,,,,,,,,,,,,,,
