"depth_cm","Median Age","Q0.025","Q0.16","Q0.84","Q0.975"
78.5,8671.7818,7810.33940625,8188.453232,9203.681408,9685.54123625
79.5,8768.890825,7885.3857825,8280.751578,9292.76422,9746.18371875
80.5,8865.13025,7950.7608193,8364.500848,9398.492108,9839.0202825
81.5,8962.707025,7998.209083,8434.4493424,9505.492316,9956.41068125
82.5,9057.722875,8093.60214875,8521.69326,9595.223416,10045.45759125
83.5,9158.151075,8196.08832,8639.273306,9665.431884,10085.43526125
84.5,9261.468075,8281.16868,8741.5428116,9749.899766,10138.7101475
85.5,9360.533725,8356.36056875,8839.907612,9840.676174,10215.3369625
86.5,9458.54531,8409.470600375,8928.352506,9945.6484684,10309.19491125
87.5,9549.697675,8508.97961625,9029.756938,10032.4599972,10386.557795875
88.5,9638.3069,8638.1188275,9143.5741336,10093.657472,10428.53260125
89.5,9740.9975,8735.016575,9250.462956,10161.693318,10477.762056875
90.5,9841.96675,8810.35191,9341.513768,10243.102496,10539.7074175
91.5,9938.4749,8860.904224125,9415.229732,10333.734848,10627.8738525
92.5,10026.811595,9001.03108625,9524.234076,10408.0553304,10691.7419175
93.5,10108.437175,9195.199455,9657.7931532,10454.816834,10725.08899375
94.5,10194.5386,9335.00240125,9786.187898,10507.172796,10760.6124875
95.5,10287.90826,9439.88451625,9903.226232,10572.304644,10807.3690625
96.5,10382.3458715,9519.077293625,9999.5982998,10651.0777896,10867.038538875
97.5,10462.911825,9669.44574625,10116.677876,10715.199784,10928.200150875
98.5,10535.614565,9905.6020725,10257.24697664,10751.90168,10953.4655675
99.5,10605.385775,10136.376065,10391.708366,10794.054318,10986.87274625
100.5,10679.803725,10345.91793625,10517.037862,10844.920816,11031.404201875
101.5,10757.64405,10503.2322775,10627.20863,10911.959916,11097.83751565
102.5,10818.835375,10574.81602625,10692.015462,10967.8800148,11158.2367775
103.5,10853.5409,10604.743067875,10725.342166,11003.46612488,11193.6517975
104.5,10886.37165,10626.61099875,10751.53498,11040.845922,11237.04409125
105.5,10920.3609,10645.53120125,10775.25655024,11085.01671,11291.8056075
106.5,10952.824175,10658.69690575,10795.779952,11130.64824,11353.9766125
107.5,10983.451225,10685.269205,10822.315701,11171.077346,11401.13486375
108.5,11015.58345,10714.5205025,10852.602496,11203.390962,11432.16602625
